group	bucket	n	p50_24h	p80_24h	p95_24h
large(BTC,ETH)	(0.0, 0.05)	60	3.125	4.469	6.835
large(BTC,ETH)	(0.05, 0.1)	53	2.947	4.536	7.266
large(BTC,ETH)	(0.1, 0.25)	168	3.206	5.512	8.755
large(BTC,ETH)	(0.25, 0.5)	311	3.851	5.986	8.658
large(BTC,ETH)	(0.5, 0.75)	265	4.047	6.423	11.05
large(BTC,ETH)	(0.75, 1.0)	233	4.403	7.35	11.298
large(BTC,ETH)	lo_vs_hi_gap_p80	60/233		2.881	CI[+1.485,+4.150]
other(8標的)	(0.0, 0.05)	300	4.358	6.55	10.097
other(8標的)	(0.05, 0.1)	273	4.441	7.163	11.171
other(8標的)	(0.1, 0.25)	758	4.825	7.583	11.855
other(8標的)	(0.25, 0.5)	1086	5.207	7.818	12.046
other(8標的)	(0.5, 0.75)	1005	5.456	8.456	13.335
other(8標的)	(0.75, 1.0)	938	6.034	9.54	16.022
other(8標的)	lo_vs_hi_gap_p80	300/938		2.99	CI[+1.419,+4.349]
