pair	ts	grade	vol_z	amp_24h	win4h
XRP/USDT	2025-01-01 12:15:00+00:00	B	3.167477352332188	0.1385391594149232	2025-01-01 12:00:00+00:00
AVAX/USDT	2025-01-01 18:30:00+00:00	B	7.176978026793072	0.1086601307189543	2025-01-01 16:00:00+00:00
XRP/USDT	2025-01-02 00:00:00+00:00	B	3.604238991013569	0.045532538187905425	2025-01-02 00:00:00+00:00
AVAX/USDT	2025-01-02 04:30:00+00:00	B	3.902808043670708	0.05212059274399589	2025-01-02 04:00:00+00:00
ETH/USDT	2025-01-02 09:45:00+00:00	B	3.720284852391079	0.025432892631093246	2025-01-02 08:00:00+00:00
BTC/USDT	2025-01-02 14:45:00+00:00	A	5.149805433976095	0.0185022099810512	2025-01-02 12:00:00+00:00
ADA/USDT	2025-01-03 03:45:00+00:00	B	3.981025612137773	0.11051606621226868	2025-01-03 00:00:00+00:00
ADA/USDT	2025-01-03 08:15:00+00:00	B	4.016479846841341	0.07529122075954153	2025-01-03 08:00:00+00:00
DOGE/USDT	2025-01-03 13:00:00+00:00	B	8.617428047863749	0.10103555210986827	2025-01-03 12:00:00+00:00
BNB/USDT	2025-01-03 16:15:00+00:00	B	4.818055415675724	0.019644658670552605	2025-01-03 16:00:00+00:00
DOGE/USDT	2025-01-04 03:00:00+00:00	A	3.0415684603136293	0.057308501359601936	2025-01-04 00:00:00+00:00
SOL/USDT	2025-01-05 03:30:00+00:00	A	4.624044492891265	0.03480055020632739	2025-01-05 00:00:00+00:00
BTC/USDT	2025-01-05 20:15:00+00:00	A	5.696796247689189	0.046302647303089105	2025-01-05 20:00:00+00:00
LINK/USDT	2025-01-06 02:00:00+00:00	B	7.017392679095002	0.060796645702306196	2025-01-06 00:00:00+00:00
AVAX/USDT	2025-01-06 09:00:00+00:00	A	3.761826163534131	0.03729656419529834	2025-01-06 08:00:00+00:00
BTC/USDT	2025-01-06 14:45:00+00:00	B	16.160153530339684	0.029704866224465866	2025-01-06 12:00:00+00:00
XRP/USDT	2025-01-07 10:45:00+00:00	A	3.1253446585559077	0.0821086912273559	2025-01-07 08:00:00+00:00
XRP/USDT	2025-01-10 17:45:00+00:00	B	3.0752777162680416	0.08123404255319151	2025-01-10 16:00:00+00:00
ADA/USDT	2025-01-11 16:45:00+00:00	A	3.682119110528049	0.10427638508531702	2025-01-11 16:00:00+00:00
BTC/USDT	2025-01-11 21:45:00+00:00	B	8.725547719776811	0.01831573709753328	2025-01-11 20:00:00+00:00
SOL/USDT	2025-01-12 15:15:00+00:00	B	3.032398880592895	0.12136330217414146	2025-01-12 12:00:00+00:00
ETH/USDT	2025-01-13 00:15:00+00:00	B	4.154275483605286	0.12682864813979605	2025-01-13 00:00:00+00:00
XRP/USDT	2025-01-14 16:45:00+00:00	B	6.625072553893687	0.16455744599502967	2025-01-14 16:00:00+00:00
BNB/USDT	2025-01-15 00:15:00+00:00	A	6.580724996986848	0.038361239757748425	2025-01-15 00:00:00+00:00
AVAX/USDT	2025-01-15 13:30:00+00:00	B	19.877677044207925	0.05709071949947857	2025-01-15 12:00:00+00:00
LTC/USDT	2025-01-15 22:30:00+00:00	B	5.0669863529869525	0.20968781655769417	2025-01-15 20:00:00+00:00
LTC/USDT	2025-01-16 15:00:00+00:00	B	3.7783296706195832	0.17895164567249083	2025-01-16 12:00:00+00:00
ADA/USDT	2025-01-16 16:00:00+00:00	B	4.449440161330856	0.057318048520394564	2025-01-16 16:00:00+00:00
BTC/USDT	2025-01-17 01:30:00+00:00	B	6.389707329784322	0.050028587455031776	2025-01-17 00:00:00+00:00
ETH/USDT	2025-01-17 20:15:00+00:00	B	3.106108707032757	0.0855588016268545	2025-01-17 20:00:00+00:00
SOL/USDT	2025-01-18 02:45:00+00:00	A	4.617988350207589	0.23130967393262483	2025-01-18 00:00:00+00:00
ETH/USDT	2025-01-19 13:45:00+00:00	B	3.128306813626165	0.0948767008748882	2025-01-19 12:00:00+00:00
DOGE/USDT	2025-01-21 11:15:00+00:00	B	6.779799705363	0.12132629992464207	2025-01-21 08:00:00+00:00
BNB/USDT	2025-01-22 04:30:00+00:00	B	4.003261067418537	0.028846567215510932	2025-01-22 04:00:00+00:00
SOL/USDT	2025-01-22 13:15:00+00:00	B	3.633201707215169	0.1131031345942462	2025-01-22 12:00:00+00:00
XRP/USDT	2025-01-22 19:30:00+00:00	A	15.56951599422565	0.07729709512529616	2025-01-22 16:00:00+00:00
DOGE/USDT	2025-01-22 22:30:00+00:00	B	17.40338197513627	0.06669964547778055	2025-01-22 20:00:00+00:00
LINK/USDT	2025-01-23 13:30:00+00:00	A	3.8198929904458896	0.07648494711147286	2025-01-23 12:00:00+00:00
SOL/USDT	2025-01-23 20:15:00+00:00	B	5.484975510713748	0.10394082886549526	2025-01-23 20:00:00+00:00
BNB/USDT	2025-01-24 05:45:00+00:00	B	3.779044112179721	0.01972931895491061	2025-01-24 04:00:00+00:00
LTC/USDT	2025-01-24 14:30:00+00:00	B	4.380613426911792	0.09100624794475508	2025-01-24 12:00:00+00:00
DOGE/USDT	2025-01-25 15:00:00+00:00	A	33.52207859772792	0.03113016016241821	2025-01-25 12:00:00+00:00
ADA/USDT	2025-01-26 18:00:00+00:00	A	3.618964578194998	0.14357178589294642	2025-01-26 16:00:00+00:00
LINK/USDT	2025-01-27 12:45:00+00:00	B	3.4872330338863433	0.08054841473864606	2025-01-27 12:00:00+00:00
XRP/USDT	2025-01-28 15:15:00+00:00	B	6.328118633569303	0.06308082230357646	2025-01-28 12:00:00+00:00
BNB/USDT	2025-01-29 04:00:00+00:00	B	10.946880451166919	0.029198262534049977	2025-01-29 04:00:00+00:00
BNB/USDT	2025-01-29 19:30:00+00:00	B	3.2748865086985766	0.027632070537248764	2025-01-29 16:00:00+00:00
LTC/USDT	2025-01-30 04:15:00+00:00	B	3.681094510168254	0.07649313318428616	2025-01-30 04:00:00+00:00
BTC/USDT	2025-01-30 14:45:00+00:00	A	3.9650609033508184	0.023860804374447812	2025-01-30 12:00:00+00:00
ETH/USDT	2025-01-31 11:00:00+00:00	B	4.522287958669027	0.0646655611169891	2025-01-31 08:00:00+00:00
BTC/USDT	2025-01-31 15:15:00+00:00	A	4.6301377991070245	0.04374026838458155	2025-01-31 12:00:00+00:00
LINK/USDT	2025-02-01 02:15:00+00:00	B	6.115949107772751	0.1230709876543209	2025-02-01 00:00:00+00:00
BNB/USDT	2025-02-06 12:30:00+00:00	A	11.021457089466603	0.03500341997264027	2025-02-06 12:00:00+00:00
BTC/USDT	2025-02-07 13:30:00+00:00	B	6.0143987284577	0.04594002318534045	2025-02-07 12:00:00+00:00
DOGE/USDT	2025-02-09 01:00:00+00:00	A	3.7552463496944264	0.07959905660377366	2025-02-09 00:00:00+00:00
BNB/USDT	2025-02-09 07:00:00+00:00	B	3.890307363488623	0.08249996025247625	2025-02-09 04:00:00+00:00
AVAX/USDT	2025-02-09 08:45:00+00:00	B	4.32306259130039	0.08777429467084634	2025-02-09 08:00:00+00:00
