pair	bars	first	last	n_bbw_null
BTC/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
ETH/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
ADA/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
SOL/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
XRP/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
DOGE/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
BNB/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
LINK/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
LTC/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
AVAX/USDT	55392	2024-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978
