estimator	bucket	n	1h_p50	1h_p80	1h_p95	4h_p50	4h_p80	4h_p95	12h_p50	12h_p80	12h_p95	24h_p50	24h_p80	24h_p95
gk	[0.00,0.05)	360	0.412	0.6025	0.9229	0.8384	1.192	1.6725	1.5135	2.0298	2.7235	2.6156	3.4989	4.6959
gk	[0.05,0.10)	326	0.4601	0.7048	1.0211	0.9355	1.3981	1.977	1.6691	2.3883	3.2643	2.8538	3.9213	5.3447
gk	[0.10,0.25)	926	0.5148	0.7659	1.2502	1.0229	1.5116	2.218	1.7841	2.5137	3.5282	3.0587	4.2338	5.9478
gk	[0.25,0.50)	1397	0.577	0.916	1.3818	1.1545	1.7214	2.4266	1.9197	2.7792	3.9141	3.2262	4.5644	6.1885
gk	[0.50,0.75)	1270	0.6792	1.044	1.5023	1.3112	1.8933	2.8572	2.0939	3.0627	4.4787	3.5067	4.9149	7.1717
gk	[0.75,1.00]	1171	0.8427	1.2929	2.2526	1.5343	2.3674	3.7117	2.414	3.7256	5.9702	3.8729	5.6534	8.7886
yz	[0.00,0.05)	360	0.4177	0.5996	0.9155	0.8523	1.2105	1.701	1.5328	2.0722	2.7428	2.658	3.5121	4.7275
yz	[0.05,0.10)	326	0.4697	0.7238	1.0468	0.9561	1.4171	1.9876	1.6947	2.4005	3.2548	2.908	4.0042	5.4559
yz	[0.10,0.25)	926	0.5206	0.7798	1.2771	1.0396	1.5183	2.2585	1.8047	2.5199	3.5898	3.0964	4.2716	6.1081
yz	[0.25,0.50)	1397	0.5852	0.9259	1.3903	1.1716	1.7356	2.4551	1.9343	2.8265	3.9951	3.2563	4.61	6.3174
yz	[0.50,0.75)	1270	0.6841	1.0533	1.5143	1.3296	1.9066	2.9453	2.1228	3.081	4.5281	3.5565	4.9528	7.2785
yz	[0.75,1.00]	1171	0.8523	1.3213	2.2842	1.5454	2.368	3.7461	2.4426	3.7438	6.1118	3.917	5.6835	8.8189
