pair	bars	first	last	n_bbw_null	n_event_raw
BTC/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	562
ETH/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	569
ADA/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	411
SOL/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	551
XRP/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	478
DOGE/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	510
BNB/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	507
LINK/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	404
LTC/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	420
AVAX/USDT	125563	2022-12-01 00:00:00+00:00	2026-06-30 23:45:00+00:00	978	453
