pair	ts	grade	bbw_pct_now	amp_24h	win4h	bucket
XRP/USDT	2025-01-01 12:15:00+00:00	B	0.45729166666666665	0.1385391594149232	2025-01-01 12:00:00+00:00	[0.25,0.50)
AVAX/USDT	2025-01-01 18:30:00+00:00	B	0.2972222222222222	0.1086601307189543	2025-01-01 16:00:00+00:00	[0.25,0.50)
XRP/USDT	2025-01-02 00:00:00+00:00	B	0.5454861111111111	0.045532538187905425	2025-01-02 00:00:00+00:00	[0.50,0.75)
AVAX/USDT	2025-01-02 04:30:00+00:00	B	0.35868055555555556	0.05212059274399589	2025-01-02 04:00:00+00:00	[0.25,0.50)
ETH/USDT	2025-01-02 09:45:00+00:00	B	0.5527777777777778	0.025432892631093246	2025-01-02 08:00:00+00:00	[0.50,0.75)
BTC/USDT	2025-01-02 14:45:00+00:00	A	0.17777777777777778	0.0185022099810512	2025-01-02 12:00:00+00:00	[0.10,0.25)
ADA/USDT	2025-01-03 03:45:00+00:00	B	0.9006944444444445	0.11051606621226868	2025-01-03 00:00:00+00:00	[0.75,1.00]
ADA/USDT	2025-01-03 08:15:00+00:00	B	0.78125	0.07529122075954153	2025-01-03 08:00:00+00:00	[0.75,1.00]
DOGE/USDT	2025-01-03 13:00:00+00:00	B	0.9347222222222222	0.10103555210986827	2025-01-03 12:00:00+00:00	[0.75,1.00]
BNB/USDT	2025-01-03 16:15:00+00:00	B	0.39375	0.019644658670552605	2025-01-03 16:00:00+00:00	[0.25,0.50)
DOGE/USDT	2025-01-04 03:00:00+00:00	A	0.4239583333333333	0.057308501359601936	2025-01-04 00:00:00+00:00	[0.25,0.50)
SOL/USDT	2025-01-05 03:30:00+00:00	A	0.06979166666666667	0.03480055020632739	2025-01-05 00:00:00+00:00	[0.05,0.10)
BTC/USDT	2025-01-05 20:15:00+00:00	A	0.22465277777777778	0.046302647303089105	2025-01-05 20:00:00+00:00	[0.10,0.25)
LINK/USDT	2025-01-06 02:00:00+00:00	B	0.44756944444444446	0.060796645702306196	2025-01-06 00:00:00+00:00	[0.25,0.50)
AVAX/USDT	2025-01-06 09:00:00+00:00	A	0.27534722222222224	0.03729656419529834	2025-01-06 08:00:00+00:00	[0.25,0.50)
BTC/USDT	2025-01-06 14:45:00+00:00	B	0.7128472222222222	0.029704866224465866	2025-01-06 12:00:00+00:00	[0.50,0.75)
XRP/USDT	2025-01-07 10:45:00+00:00	A	0.10451388888888889	0.0821086912273559	2025-01-07 08:00:00+00:00	[0.10,0.25)
XRP/USDT	2025-01-10 17:45:00+00:00	B	0.7041666666666667	0.08123404255319151	2025-01-10 16:00:00+00:00	[0.50,0.75)
ADA/USDT	2025-01-11 16:45:00+00:00	A	0.1597222222222222	0.10427638508531702	2025-01-11 16:00:00+00:00	[0.10,0.25)
BTC/USDT	2025-01-11 21:45:00+00:00	B	0.45625	0.01831573709753328	2025-01-11 20:00:00+00:00	[0.25,0.50)
SOL/USDT	2025-01-12 15:15:00+00:00	B	0.5145833333333333	0.12136330217414146	2025-01-12 12:00:00+00:00	[0.50,0.75)
ETH/USDT	2025-01-13 00:15:00+00:00	B	0.6892361111111112	0.12682864813979605	2025-01-13 00:00:00+00:00	[0.50,0.75)
XRP/USDT	2025-01-14 16:45:00+00:00	B	0.46597222222222223	0.16455744599502967	2025-01-14 16:00:00+00:00	[0.25,0.50)
