window	bucket	n	1h_p50	1h_p80	1h_p95	4h_p50	4h_p80	4h_p95	12h_p50	12h_p80	12h_p95	24h_p50	24h_p80	24h_p95
ORIG	[0.00,0.05)	360	0.63	1.007	1.582	1.241	1.962	3.073	2.316	3.516	5.388	4.046	6.351	9.799
ORIG	[0.05,0.10)	326	0.689	1.235	1.916	1.339	2.368	3.502	2.516	4.112	5.853	4.181	6.836	10.808
ORIG	[0.10,0.25)	926	0.779	1.272	2.218	1.512	2.526	4.405	2.669	4.346	6.397	4.486	7.387	11.672
ORIG	[0.25,0.50)	1397	0.892	1.428	2.468	1.755	2.822	4.437	2.992	4.64	6.995	4.878	7.508	11.399
ORIG	[0.50,0.75)	1270	1.04	1.682	2.621	2.001	3.21	5.071	3.152	5.121	8.015	5.161	8.036	13.035
ORIG	[0.75,1.00]	1171	1.32	2.177	3.609	2.407	3.972	6.727	3.561	5.936	10.957	5.772	9.111	15.251
EXT	[0.00,0.05)	631	0.552	0.943	1.653	1.163	1.914	3.121	2.19	3.629	5.538	3.836	6.465	10.047
EXT	[0.05,0.10)	712	0.668	1.166	1.954	1.229	2.055	3.316	2.337	3.862	6.229	3.965	6.516	9.816
EXT	[0.10,0.25)	2006	0.738	1.236	1.968	1.367	2.222	3.669	2.482	4.034	6.2	4.263	6.922	10.917
EXT	[0.25,0.50)	3322	0.823	1.4	2.245	1.521	2.5	4.075	2.81	4.397	6.95	4.586	7.293	11.34
EXT	[0.50,0.75)	3065	0.95	1.635	2.712	1.744	2.976	4.781	3.08	5.069	8.23	5.039	8.13	12.919
EXT	[0.75,1.00]	3024	1.216	2.107	3.765	2.164	3.708	6.909	3.55	6.385	10.811	5.708	9.594	15.724
P1	[0.00,0.05)	314	0.525	0.956	1.602	1.077	1.904	3.63	2.028	3.607	5.741	3.482	6.067	9.859
P1	[0.05,0.10)	385	0.713	1.252	1.947	1.234	2.143	3.508	2.452	4.03	6.412	3.95	6.742	10.5
P1	[0.10,0.25)	1103	0.725	1.251	2.11	1.343	2.227	3.859	2.421	4.053	6.391	4.167	6.704	10.901
P1	[0.25,0.50)	1870	0.777	1.387	2.271	1.422	2.4	4.232	2.7	4.375	7.443	4.425	7.209	11.552
P1	[0.50,0.75)	1801	0.903	1.654	2.838	1.662	2.965	4.846	3.0	5.07	8.309	4.952	8.091	12.815
P1	[0.75,1.00]	1837	1.201	2.14	3.769	2.112	3.725	7.098	3.537	6.606	10.998	5.607	9.738	16.35
