window	T	n_lo	n_hi	p80_lo	p80_hi	diff_p80	ci_lo	ci_hi
ORIG	1h	360	1171	1.007	2.177	1.17	0.9	1.428
ORIG	4h	360	1171	1.962	3.972	2.011	1.443	2.452
ORIG	12h	360	1171	3.516	5.936	2.42	1.392	3.401
ORIG	24h	360	1171	6.351	9.111	2.76	1.563	4.06
EXT	1h	631	3024	0.943	2.107	1.164	0.959	1.34
EXT	4h	631	3024	1.914	3.708	1.793	1.411	2.204
EXT	12h	631	3024	3.629	6.385	2.756	2.136	3.537
EXT	24h	631	3024	6.465	9.594	3.129	2.168	4.152
P1	1h	314	1837	0.956	2.14	1.184	0.935	1.45
P1	4h	314	1837	1.904	3.725	1.821	1.268	2.428
P1	12h	314	1837	3.607	6.606	2.999	1.977	4.022
P1	24h	314	1837	6.067	9.738	3.671	2.12	4.928
