window	bucket	n_event	n_A	n_B	n_random	event_p80	random_p80	diff_p80	ci_lo	ci_hi	note
ORIG	[0.00,0.05)	20	20	0	360	6.677	6.351	0.326			n<30 樣本不足，不判定
ORIG	[0.05,0.10)	22	22	0	326	6.995	6.836	0.16			n<30 樣本不足，不判定
ORIG	[0.10,0.25)	96	95	1	926	6.813	7.387	-0.573	-1.715	0.798	
ORIG	[0.25,0.50)	203	108	95	1397	7.568	7.508	0.06	-1.021	1.127	
ORIG	[0.50,0.75)	232	15	217	1270	7.7	8.036	-0.336	-1.71	0.64	
ORIG	[0.75,1.00]	218	3	215	1171	9.882	9.111	0.771	-0.964	2.17	
EXT	[0.00,0.05)	42	42	0	631	6.692	6.465	0.227	-1.362	3.726	
EXT	[0.05,0.10)	51	51	0	712	7.807	6.516	1.291	-1.607	3.058	
EXT	[0.10,0.25)	222	220	2	2006	7.256	6.922	0.334	-0.848	1.122	
EXT	[0.25,0.50)	475	267	208	3322	7.05	7.293	-0.243	-0.96	0.448	
EXT	[0.50,0.75)	594	60	534	3065	8.142	8.13	0.013	-0.721	0.926	
EXT	[0.75,1.00]	673	11	662	3024	10.405	9.594	0.811	-0.092	1.935	
P1	[0.00,0.05)	26	26	0	314	6.266	6.067	0.199			n<30 樣本不足，不判定
P1	[0.05,0.10)	27	27	0	385	8.543	6.742	1.801			n<30 樣本不足，不判定
P1	[0.10,0.25)	127	124	3	1103	7.568	6.704	0.865	-0.474	2.395	
P1	[0.25,0.50)	271	156	115	1870	7.073	7.209	-0.136	-1.02	0.862	
P1	[0.50,0.75)	357	40	317	1801	8.202	8.091	0.111	-0.965	1.44	
P1	[0.75,1.00]	458	9	449	1837	10.622	9.738	0.883	-0.482	2.502	
