segment	bucket	n_event	n_A	n_random	diff_p80	ci_lo	ci_hi	note
EXT_P1(2023-01~2024-12)	[0.00,0.05)	24	24	314	0.379			n<30 不判定
EXT_P1(2023-01~2024-12)	[0.05,0.10)	27	27	385	1.801			n<30 不判定
EXT_P1(2023-01~2024-12)	[0.10,0.25)	126	124	1103	0.572	-0.695	1.952	
EXT_P1(2023-01~2024-12)	[0.25,0.50)	273	159	1870	-0.351	-1.204	0.409	
EXT_P1(2023-01~2024-12)	[0.50,0.75)	362	42	1801	0.563	-0.794	1.618	
EXT_P1(2023-01~2024-12)	[0.75,1.00]	454	8	1837	1.043	-0.317	2.585	
EXT_P2(2025-01~2026-06)	[0.00,0.05)	18	18	317	0.187			n<30 不判定
EXT_P2(2025-01~2026-06)	[0.05,0.10)	24	24	327	0.274			n<30 不判定
EXT_P2(2025-01~2026-06)	[0.10,0.25)	96	96	903	-0.513	-1.829	1.037	
EXT_P2(2025-01~2026-06)	[0.25,0.50)	202	108	1452	-0.173	-1.182	1.095	
EXT_P2(2025-01~2026-06)	[0.50,0.75)	232	18	1264	-0.404	-1.599	0.716	
EXT_P2(2025-01~2026-06)	[0.75,1.00]	219	3	1187	0.488	-1.263	2.0	
