half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	40	close	auto	3	1	0.02	0.00011	12470	-0.00301244	-0.007014	-0.0057844	-0.00420322	-0.00145122	0.00510111	-0.00315807	-0.00286317	0			-0.0017014	main
1.5	40	close	auto	3	7	0.02	0.00011	12470	-0.00329402	-0.007014	-0.00578756	-0.0042621	-0.00182814	0.00361959	-0.00341677	-0.00316454	0			-0.00184046	main
1.5	40	close	auto	3	30	0.02	0.00011	12470	-0.00329402	-0.007014	-0.00578756	-0.0042621	-0.00182814	0.00361959	-0.00341677	-0.00316454	0			-0.00184046	main
1.5	40	close	auto	5	1	0.02	0.00011	12470	-0.00502073	-0.01169	-0.00964067	-0.00700537	-0.0024187	0.00850186	-0.00526346	-0.00477195	0			-0.00283567	main
1.5	40	close	auto	5	7	0.02	0.00011	12470	-0.00549003	-0.01169	-0.00964593	-0.0071035	-0.00304689	0.00603264	-0.00569462	-0.00527423	0			-0.00306743	main
1.5	40	close	auto	5	30	0.02	0.00011	12470	-0.00549003	-0.01169	-0.00964593	-0.0071035	-0.00304689	0.00603264	-0.00569462	-0.00527423	0			-0.00306743	main
1.5	40	close	auto	10	1	0.02	0.00011	12470	-0.0100415	-0.02338	-0.0192813	-0.0140107	-0.0048374	0.0170037	-0.0105269	-0.00954391	0			-0.00567134	main
1.5	40	close	auto	10	7	0.02	0.00011	12470	-0.0109801	-0.02338	-0.0192919	-0.014207	-0.00609379	0.0120653	-0.0113892	-0.0105485	0			-0.00613486	main
1.5	40	close	auto	10	30	0.02	0.00011	12470	-0.0109801	-0.02338	-0.0192919	-0.014207	-0.00609379	0.0120653	-0.0113892	-0.0105485	0			-0.00613486	main
1.5	40	close	auto	15	1	0.02	0.00011	12470	-0.0150622	-0.03507	-0.028922	-0.0210161	-0.0072561	0.0255056	-0.0157904	-0.0143159	0			-0.00850701	main
1.5	40	close	auto	15	7	0.02	0.00011	12470	-0.0164701	-0.03507	-0.0289378	-0.0213105	-0.00914068	0.0180979	-0.0170839	-0.0158227	0			-0.00920229	main
1.5	40	close	auto	15	30	0.02	0.00011	12470	-0.0164701	-0.03507	-0.0289378	-0.0213105	-0.00914068	0.0180979	-0.0170839	-0.0158227	0			-0.00920229	main
1.5	40	close	auto	30	1	0.02	0.00011	12470	-0.0301244	-0.07014	-0.057844	-0.0420322	-0.0145122	0.0510111	-0.0315807	-0.0286317	0			-0.017014	main
