half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	40	close	reverse	3	1	0.02	0.00011	12470	-0.000464026	-0.00633832	-0.00451874	-0.00205347	0.0020679	0.0104891	-0.000636035	-0.000282328	0			-0.0027564	main
1.5	40	close	reverse	3	7	0.02	0.00011	12470	-0.000602249	-0.00633973	-0.00453316	-0.00217169	0.00158716	0.0104641	-0.000770999	-0.00041598	0			-0.00295473	main
1.5	40	close	reverse	3	30	0.02	0.00011	12470	-0.000602249	-0.00633973	-0.00453316	-0.00217169	0.00158716	0.0104641	-0.000770999	-0.00041598	0			-0.00295473	main
1.5	40	close	reverse	5	1	0.02	0.00011	12470	-0.000773377	-0.0105639	-0.00753123	-0.00342246	0.00344651	0.0174819	-0.00106006	-0.000470546	0			-0.004594	main
1.5	40	close	reverse	5	7	0.02	0.00011	12470	-0.00100375	-0.0105662	-0.00755526	-0.00361948	0.00264526	0.0174401	-0.001285	-0.0006933	0			-0.00492455	main
1.5	40	close	reverse	5	30	0.02	0.00011	12470	-0.00100375	-0.0105662	-0.00755526	-0.00361948	0.00264526	0.0174401	-0.001285	-0.0006933	0			-0.00492455	main
1.5	40	close	reverse	10	1	0.02	0.00011	12470	-0.00154675	-0.0211277	-0.0150625	-0.00684491	0.00689301	0.0349637	-0.00212012	-0.000941092	0			-0.009188	main
1.5	40	close	reverse	10	7	0.02	0.00011	12470	-0.0020075	-0.0211324	-0.0151105	-0.00723896	0.00529053	0.0348803	-0.00257	-0.0013866	0			-0.00984909	main
1.5	40	close	reverse	10	30	0.02	0.00011	12470	-0.0020075	-0.0211324	-0.0151105	-0.00723896	0.00529053	0.0348803	-0.00257	-0.0013866	0			-0.00984909	main
1.5	40	close	reverse	15	1	0.02	0.00011	12470	-0.00232013	-0.0316916	-0.0225937	-0.0102674	0.0103395	0.0524456	-0.00318017	-0.00141164	0			-0.013782	main
1.5	40	close	reverse	15	7	0.02	0.00011	12470	-0.00301124	-0.0316986	-0.0226658	-0.0108584	0.00793579	0.0523204	-0.003855	-0.0020799	0			-0.0147736	main
1.5	40	close	reverse	15	30	0.02	0.00011	12470	-0.00301124	-0.0316986	-0.0226658	-0.0108584	0.00793579	0.0523204	-0.003855	-0.0020799	0			-0.0147736	main
1.5	40	close	reverse	30	1	0.02	0.00011	12470	-0.00464026	-0.0633832	-0.0451874	-0.0205347	0.020679	0.104891	-0.00636035	-0.00282328	0			-0.027564	main
1.5	40	close	reverse	30	7	0.02	0.00011	12470	-0.00602249	-0.0633973	-0.0453316	-0.0217169	0.0158716	0.104641	-0.00770999	-0.0041598	0			-0.0295473	main
1.5	40	close	reverse	30	30	0.02	0.00011	12470	-0.00602249	-0.0633973	-0.0453316	-0.0217169	0.0158716	0.104641	-0.00770999	-0.0041598	0			-0.0295473	main
1.5	40	hold	reverse	3	1	0.02	0.00011	12470	-0.00451754	-0.0645911	-0.0163843	0.00285425	0.0143183	0.035017	-0.00581737	-0.00325244	0	0.0244391	-0.0216993	-0.00725736	main
1.5	40	hold	reverse	3	7	0.02	0.00011	12470	-0.0164519	-0.183404	-0.0617747	-0.00246519	0.0446804	0.113399	-0.0233782	-0.00951077	0.00136327	0.0771661	-0.0695344	-0.0227272	main
1.5	40	hold	reverse	3	30	0.02	0.00011	12470	-0.0479573	-0.413081	-0.153127	-0.0180207	0.0971969	0.254723	-0.0703365	-0.0267817	0.0218123	0.169408	-0.146331	-0.0493078	main
1.5	40	hold	reverse	5	1	0.02	0.00011	12470	-0.0076428	-0.107652	-0.0273071	0.00475708	0.0238638	0.0583616	-0.00988574	-0.00551322	0.00032077	0.0407398	-0.0359663	-0.0120954	main
1.5	40	hold	reverse	5	7	0.02	0.00011	12470	-0.0280282	-0.307165	-0.102958	-0.00410866	0.0744673	0.188998	-0.039319	-0.016612	0.00705694	0.128936	-0.112059	-0.0378779	main
1.5	40	hold	reverse	5	30	0.02	0.00011	12470	-0.0747501	-1	-0.258081	-0.0306006	0.161901	0.424433	-0.107798	-0.0435625	0.0573376	0.28727	-0.22129	-0.0821286	main
1.5	40	hold	reverse	10	1	0.02	0.00011	12470	-0.0154826	-0.215304	-0.0546143	0.00951417	0.0477276	0.116723	-0.0200435	-0.0110982	0.00264635	0.0815581	-0.0702098	-0.0241908	main
1.5	40	hold	reverse	10	7	0.02	0.00011	12470	-0.0583982	-0.761906	-0.207063	-0.00836701	0.148864	0.377997	-0.080799	-0.0356456	0.047073	0.262546	-0.197068	-0.0757255	main
1.5	40	hold	reverse	10	30	0.02	0.00011	12470	-0.157523	-1	-1	-0.0973781	0.31019	0.841453	-0.211964	-0.102638	0.256295	0.647787	-0.324595	-0.161368	main
1.5	40	hold	reverse	15	1	0.02	0.00011	12470	-0.0248224	-0.326331	-0.0821256	0.0142394	0.0715643	0.175051	-0.0317516	-0.0181703	0.0115477	0.122748	-0.0997306	-0.0362722	main
1.5	40	hold	reverse	15	7	0.02	0.00011	12470	-0.0971575	-1	-0.333495	-0.0179372	0.220181	0.563558	-0.128786	-0.0638247	0.13352	0.410633	-0.247698	-0.11261	main
1.5	40	hold	reverse	15	30	0.02	0.00011	12470	-0.24327	-1	-1	-0.393966	0.394317	1.22018	-0.308534	-0.176823	0.451403	1.08602	-0.387523	-0.22671	main
1.5	40	hold	reverse	30	1	0.02	0.00011	12470	-0.0553014	-1	-0.169353	0.0275315	0.142475	0.348928	-0.0683939	-0.0419935	0.0684844	0.249639	-0.161395	-0.0721731	main
1.5	40	hold	reverse	30	7	0.02	0.00011	12470	-0.214723	-1	-1	-0.200401	0.377389	1.08014	-0.261341	-0.165627	0.408661	0.938688	-0.334389	-0.20991	main
1.5	40	hold	reverse	30	30	0.02	0.00011	12470	-0.417053	-1	-1	-1	-0.30238	2.11707	-0.490186	-0.341728	0.740417	2.56562	-0.566312	-0.353134	main
1.5	40	recover	reverse	3	1	0.02	0.00011	12470	-0.00184804	-0.0384291	-0.00257099	0.00351051	0.00713334	0.0151364	-0.00268554	-0.00105928	0			-0.00272832	main
1.5	40	recover	reverse	3	7	0.02	0.00011	12470	-0.00314942	-0.0703208	0.00268116	0.00513346	0.00904899	0.0180027	-0.00480118	-0.00145415	0.000160385			-0.00294358	main
1.5	40	recover	reverse	3	30	0.02	0.00011	12470	-0.00521678	-0.0767149	0.00331936	0.00571797	0.00967444	0.0186581	-0.00872963	-0.00211089	0.00160385			-0.00294923	main
1.5	40	recover	reverse	5	1	0.02	0.00011	12470	-0.00307095	-0.0640485	-0.00428498	0.00585086	0.0118889	0.0252274	-0.00445099	-0.00177243	0.000160385			-0.00454721	main
1.5	40	recover	reverse	5	7	0.02	0.00011	12470	-0.00536809	-0.117201	0.0044686	0.00855577	0.0150817	0.0300045	-0.00818243	-0.0025113	0.000882117			-0.00490597	main
1.5	40	recover	reverse	5	30	0.02	0.00011	12470	-0.00816564	-0.129359	0.0055277	0.0095251	0.0161226	0.0310969	-0.0135951	-0.00335737	0.00368885			-0.00491536	main
1.5	40	recover	reverse	10	1	0.02	0.00011	12470	-0.00611487	-0.128097	-0.00856997	0.0117017	0.0237778	0.0504547	-0.00879997	-0.0035397	0.000721732			-0.00909441	main
1.5	40	recover	reverse	10	7	0.02	0.00011	12470	-0.0113767	-0.234753	0.0089345	0.0170988	0.0301613	0.060009	-0.017105	-0.00534288	0.00705694			-0.00981188	main
1.5	40	recover	reverse	10	30	0.02	0.00011	12470	-0.0173211	-0.286537	0.0110027	0.0189562	0.0321599	0.0620659	-0.0271374	-0.00811267	0.0238974			-0.00982984	main
1.5	40	recover	reverse	15	1	0.02	0.00011	12470	-0.00978918	-0.192648	-0.0129403	0.0175447	0.0356653	0.0756821	-0.0140397	-0.00573889	0.00408982			-0.0136415	main
1.5	40	recover	reverse	15	7	0.02	0.00011	12470	-0.0191129	-0.369024	0.0132879	0.0255738	0.0452243	0.0900135	-0.0282492	-0.00968037	0.0219727			-0.0147168	main
1.5	40	recover	reverse	15	30	0.02	0.00011	12470	-0.0256022	-0.686932	0.0161628	0.0281381	0.0479617	0.0929486	-0.0382826	-0.0134954	0.0476343			-0.0147407	main
1.5	40	recover	reverse	30	1	0.02	0.00011	12470	-0.0206218	-0.394568	-0.0263744	0.0350311	0.0713247	0.151364	-0.0283485	-0.0130654	0.0245389			-0.0272822	main
1.5	40	recover	reverse	30	7	0.02	0.00011	12470	-0.0403096	-1	0.025361	0.05022	0.0899642	0.17964	-0.0549853	-0.0257548	0.0841219			-0.0294188	main
1.5	40	recover	reverse	30	30	0.02	0.00011	12470	-0.0484535	-1	0.0293762	0.0535449	0.0933387	0.184491	-0.0654159	-0.0319251	0.110826			-0.029445	main
1.5	80	close	reverse	3	1	0.02	0.00011	12470	-0.00391355	-0.0072376	-0.00624107	-0.00497387	-0.00275158	0.00343616	-0.00404791	-0.00377901	0			-0.00429161	main
1.5	80	close	reverse	3	7	0.02	0.00011	12470	-0.00425022	-0.0072376	-0.00624781	-0.00501425	-0.00306578	0.00125527	-0.00435123	-0.00414718	0			-0.0046636	main
1.5	80	close	reverse	3	30	0.02	0.00011	12470	-0.00425022	-0.0072376	-0.00624781	-0.00501425	-0.00306578	0.00125527	-0.00435123	-0.00414718	0			-0.0046636	main
1.5	80	close	reverse	5	1	0.02	0.00011	12470	-0.00652258	-0.0120627	-0.0104018	-0.00828979	-0.00458597	0.00572693	-0.00674652	-0.00629836	0			-0.00715268	main
1.5	80	close	reverse	5	7	0.02	0.00011	12470	-0.0070837	-0.0120627	-0.010413	-0.00835708	-0.00510964	0.00209211	-0.00725205	-0.00691196	0			-0.00777267	main
1.5	80	close	reverse	5	30	0.02	0.00011	12470	-0.0070837	-0.0120627	-0.010413	-0.00835708	-0.00510964	0.00209211	-0.00725205	-0.00691196	0			-0.00777267	main
1.5	80	close	reverse	10	1	0.02	0.00011	12470	-0.0130452	-0.0241253	-0.0208036	-0.0165796	-0.00917193	0.0114539	-0.013493	-0.0125967	0			-0.0143054	main
1.5	80	close	reverse	10	7	0.02	0.00011	12470	-0.0141674	-0.0241253	-0.020826	-0.0167142	-0.0102193	0.00418422	-0.0145041	-0.0138239	0			-0.0155453	main
1.5	80	close	reverse	10	30	0.02	0.00011	12470	-0.0141674	-0.0241253	-0.020826	-0.0167142	-0.0102193	0.00418422	-0.0145041	-0.0138239	0			-0.0155453	main
1.5	80	close	reverse	15	1	0.02	0.00011	12470	-0.0195677	-0.036188	-0.0312054	-0.0248694	-0.0137579	0.0171808	-0.0202396	-0.0188951	0			-0.021458	main
1.5	80	close	reverse	15	7	0.02	0.00011	12470	-0.0212511	-0.036188	-0.031239	-0.0250712	-0.0153289	0.00627633	-0.0217561	-0.0207359	0			-0.023318	main
1.5	80	close	reverse	15	30	0.02	0.00011	12470	-0.0212511	-0.036188	-0.031239	-0.0250712	-0.0153289	0.00627633	-0.0217561	-0.0207359	0			-0.023318	main
1.5	80	close	reverse	30	1	0.02	0.00011	12470	-0.0391355	-0.072376	-0.0624107	-0.0497387	-0.0275158	0.0343616	-0.0404791	-0.0377901	0			-0.0429161	main
