half_band_pct	grid_count	policy	leverage	horizon_d
3.0	40	close	3	1
3.0	40	close	3	7
3.0	40	close	3	30
3.0	40	close	5	1
3.0	40	close	5	7
3.0	40	close	5	30
3.0	40	close	10	1
3.0	40	close	10	7
3.0	40	close	10	30
3.0	40	close	15	1
3.0	40	close	15	7
3.0	40	close	15	30
3.0	40	close	30	1
3.0	40	close	30	7
3.0	40	close	30	30
3.0	40	hold	3	1
3.0	40	hold	5	1
3.0	40	hold	10	1
3.0	40	hold	15	1
4.6	40	close	3	1
4.6	40	close	5	1
4.6	40	close	10	1
4.6	40	close	15	1
4.6	40	close	30	1
4.6	40	hold	3	1
4.6	40	hold	3	7
4.6	40	hold	5	1
4.6	40	hold	5	7
4.6	40	hold	10	1
4.6	40	hold	15	1
4.6	40	hold	30	1
4.6	40	recover	3	1
4.6	40	recover	5	1
4.6	40	recover	10	1
4.6	40	recover	15	1
4.6	80	close	3	1
4.6	80	close	5	1
4.6	80	close	10	1
4.6	80	close	15	1
4.6	80	close	30	1
7.0	40	close	3	1
7.0	40	close	5	1
7.0	40	close	10	1
7.0	40	close	15	1
7.0	40	close	30	1
7.0	40	hold	3	1
7.0	40	hold	3	7
7.0	40	hold	5	1
7.0	40	hold	10	1
7.0	40	hold	15	1
7.0	40	recover	3	1
7.0	40	recover	5	1
7.0	40	recover	10	1
7.0	40	recover	15	1
7.0	80	close	3	1
7.0	80	close	3	7
7.0	80	close	5	1
7.0	80	close	5	7
7.0	80	close	10	1
7.0	80	close	10	7
7.0	80	close	15	1
7.0	80	close	15	7
7.0	80	close	30	1
7.0	80	close	30	7
7.0	80	hold	3	1
7.0	80	hold	3	7
7.0	80	hold	5	1
7.0	80	hold	5	7
7.0	80	hold	10	1
7.0	80	hold	10	7
7.0	80	hold	15	1
7.0	80	hold	30	1
7.0	80	recover	3	1
7.0	80	recover	5	1
7.0	80	recover	10	1
7.0	80	recover	15	1
7.0	80	recover	30	1
10.0	40	close	3	1
10.0	40	close	5	1
10.0	40	close	10	1
10.0	40	close	15	1
10.0	40	close	30	1
10.0	40	hold	3	1
10.0	40	hold	3	7
10.0	40	hold	5	1
10.0	40	hold	10	1
10.0	40	hold	15	1
10.0	40	recover	3	1
10.0	40	recover	5	1
10.0	40	recover	10	1
10.0	40	recover	15	1
10.0	80	close	3	1
10.0	80	close	3	7
10.0	80	close	5	1
10.0	80	close	5	7
10.0	80	close	10	1
10.0	80	close	10	7
10.0	80	close	15	1
10.0	80	close	15	7
10.0	80	close	30	1
10.0	80	close	30	7
10.0	80	hold	3	1
10.0	80	hold	3	7
10.0	80	hold	5	1
10.0	80	hold	5	7
10.0	80	hold	10	1
10.0	80	hold	10	7
10.0	80	hold	15	1
10.0	80	hold	15	7
10.0	80	hold	30	1
10.0	80	recover	3	1
10.0	80	recover	5	1
10.0	80	recover	10	1
10.0	80	recover	15	1
10.0	80	recover	30	1
