cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W3.0_N40_close	3	1	183	-0.0026180047620568557	0.0004952693961657542	-0.002591419554311513	auto側(負)	0.9453551912568307
W3.0_N40_close	3	7	183	-0.004047205426838049	-3.746983423304396e-05	-0.004015102602494345	auto側(負)	0.9344262295081968
W3.0_N40_close	3	30	183	-0.0041803092464545106	-0.0001437305179974222	-0.004147474646700969	auto側(負)	0.9344262295081968
W3.0_N40_close	5	1	183	-0.00436334127009476	0.0008254489936095911	-0.0043190325905191895	auto側(負)	0.9453551912568307
W3.0_N40_close	5	7	183	-0.006745342378063412	-6.244972372174398e-05	-0.006691837670823897	auto側(負)	0.9344262295081968
W3.0_N40_close	5	30	183	-0.006967182077424185	-0.00023955086332904066	-0.006912457744501605	auto側(負)	0.9344262295081968
W3.0_N40_close	10	1	183	-0.008726682540189531	0.0016508979872191896	-0.008638065181038376	auto側(負)	0.9453551912568307
W3.0_N40_close	10	7	183	-0.013490684756126824	-0.00012489944744348673	-0.013383675341647795	auto側(負)	0.9344262295081968
W3.0_N40_close	10	30	183	-0.013934364154848366	-0.0004791017266580813	-0.013824915489003211	auto側(負)	0.9344262295081968
W3.0_N40_close	15	1	183	-0.013090023810284282	0.0024763469808287784	-0.012957097771557563	auto側(負)	0.9453551912568307
W3.0_N40_close	15	7	183	-0.020236027134190232	-0.00018734917116523315	-0.020075513012471687	auto側(負)	0.9344262295081968
W3.0_N40_close	15	30	183	-0.02090154623227255	-0.0007186525899871256	-0.020737373233504813	auto側(負)	0.9344262295081968
W3.0_N40_close	30	1	183	-0.026180047620568574	0.004952693961657561	-0.025914195543115127	auto側(負)	0.9453551912568307
W3.0_N40_close	30	7	183	-0.04047205426838046	-0.00037469834233046267	-0.04015102602494337	auto側(負)	0.9344262295081968
W3.0_N40_close	30	30	183	-0.04180309246454509	-0.0014373051799742476	-0.041474746467009625	auto側(負)	0.9344262295081968
W3.0_N40_hold	3	1	183	-0.00392087800441037	0.002008128403767063	-0.0038445392376070856	auto側(負)	0.9562841530054644
W3.0_N40_hold	5	1	183	-0.006534796674017279	0.003346880672945112	-0.006407565396011811	auto側(負)	0.9562841530054644
W3.0_N40_hold	10	1	183	-0.013069593348034576	0.006693761345890216	-0.01281513079202363	auto側(負)	0.9562841530054644
W3.0_N40_hold	15	1	183	-0.01960439002205186	0.01004064201883532	-0.019222696188035442	auto側(負)	0.9562841530054644
W4.6_N40_close	3	1	183	-0.0016820816338970982	0.0008472252593064413	-0.0016564425775446453	auto側(負)	0.9672131147540983
W4.6_N40_close	5	1	183	-0.0028034693898285053	0.0014120420988440689	-0.0027607376292410777	auto側(負)	0.9672131147540983
W4.6_N40_close	10	1	183	-0.005606938779657012	0.0028240841976881364	-0.005521475258482154	auto側(負)	0.9672131147540983
W4.6_N40_close	15	1	183	-0.008410408169485515	0.0042361262965322066	-0.008282212887723227	auto側(負)	0.9672131147540983
W4.6_N40_close	30	1	183	-0.01682081633897103	0.00847225259306442	-0.01656442577544646	auto側(負)	0.9672131147540983
W4.6_N40_hold	3	1	183	-0.0013287988802274788	0.002584072173322711	-0.0012757444667438728	auto側(負)	0.9781420765027322
W4.6_N40_hold	3	7	183	-0.024941553008674316	-0.009801546556630234	-0.024726865435723475	auto側(負)	0.9508196721311475
W4.6_N40_hold	5	1	183	-0.0022146648003791365	0.004306786955537859	-0.0021262407779064504	auto側(負)	0.9781420765027322
W4.6_N40_hold	5	7	183	-0.041569255014457185	-0.01633591092771706	-0.04121144239287246	auto側(負)	0.9508196721311475
W4.6_N40_hold	10	1	183	-0.004429329600758274	0.008613573911075709	-0.004252481555812903	auto側(負)	0.9781420765027322
W4.6_N40_hold	15	1	183	-0.006643994401137417	0.01292036086661357	-0.0063787223337193515	auto側(負)	0.9781420765027322
W4.6_N40_hold	30	1	183	-0.021505751937545434	0.019540117706512015	-0.02098713206746341	auto側(負)	0.9781420765027322
W4.6_N40_recover	3	1	183	-0.0003997727426547684	0.002106393890675082	-0.0003538161766415373	auto側(負)	0.9726775956284153
W4.6_N40_recover	5	1	183	-0.0006662879044246172	0.0035106564844584747	-0.000589693627735891	auto側(負)	0.9726775956284153
W4.6_N40_recover	10	1	183	-0.0013325758088492358	0.007021312968916951	-0.0011793872554717905	auto側(負)	0.9726775956284153
W4.6_N40_recover	15	1	183	-0.001998863713273859	0.010531969453375424	-0.001769080883207685	auto側(負)	0.9726775956284153
W4.6_N80_close	3	1	183	-0.0036185728986303993	0.00021629407180386915	-0.003566883195939034	auto側(負)	0.9726775956284153
W4.6_N80_close	5	1	183	-0.006030954831050672	0.00036049011967312984	-0.005944805326565069	auto側(負)	0.9726775956284153
W4.6_N80_close	10	1	183	-0.012061909662101343	0.0007209802393462597	-0.01188961065313015	auto側(負)	0.9726775956284153
W4.6_N80_close	15	1	183	-0.018092864493152016	0.0010814703590193834	-0.017834415979695227	auto側(負)	0.9726775956284153
W4.6_N80_close	30	1	183	-0.03618572898630404	0.0021629407180387694	-0.03566883195939046	auto側(負)	0.9726775956284153
W7.0_N40_close	3	1	183	-0.001233915796734562	0.00030520799837111055	-0.001218937135316518	auto側(負)	0.9726775956284153
W7.0_N40_close	5	1	183	-0.002056526327890937	0.0005086799972851731	-0.002031561892194192	auto側(負)	0.9726775956284153
W7.0_N40_close	10	1	183	-0.004113052655781868	0.0010173599945703445	-0.004063123784388382	auto側(負)	0.9726775956284153
W7.0_N40_close	15	1	183	-0.006169578983672799	0.0015260399918555169	-0.006094685676582568	auto側(負)	0.9726775956284153
W7.0_N40_close	30	1	183	-0.01233915796734561	0.003052079983711036	-0.012189371353165146	auto側(負)	0.9726775956284153
W7.0_N40_hold	3	1	183	0.00043195646814318865	0.0026010588513133946	0.00045076553699563426	reverse側(正)	0.9781420765027322
W7.0_N40_hold	3	7	183	-0.01565332233183184	-0.005580186191847292	-0.015543348193512167	auto側(負)	0.9508196721311475
W7.0_N40_hold	5	1	183	0.0007199274469053142	0.0043350980855223105	0.0007512758949927298	reverse側(正)	0.9781420765027322
W7.0_N40_hold	10	1	183	0.0014398548938106344	0.008670196171044626	0.001502551789985464	reverse側(正)	0.9781420765027322
W7.0_N40_hold	15	1	183	0.0021597823407159553	0.013005294256566933	0.002253827684978205	reverse側(正)	0.9781420765027322
W7.0_N40_recover	3	1	183	0.0008508639476561004	0.0023426123946053007	0.0008659172554429676	reverse側(正)	0.9781420765027322
W7.0_N40_recover	5	1	183	0.0014181065794268324	0.003904353991008826	0.0014431954257382847	reverse側(正)	0.9781420765027322
W7.0_N40_recover	10	1	183	0.002836213158853671	0.0078087079820176476	0.0028863908514765754	reverse側(正)	0.9781420765027322
W7.0_N40_recover	15	1	183	0.0042543197382805134	0.011713061973026469	0.004329586277214874	reverse側(正)	0.9781420765027322
W7.0_N80_close	3	1	183	-0.0024924285635663634	0.000533313142430982	-0.0024546556660009927	auto側(負)	0.9453551912568307
W7.0_N80_close	3	7	183	-0.013445658331333717	-0.006658060267855894	-0.013373854754265476	auto側(負)	0.9180327868852459
W7.0_N80_close	5	1	183	-0.004154047605943938	0.0008888552373849585	-0.004091092776668323	auto側(負)	0.9453551912568307
W7.0_N80_close	5	7	183	-0.022409430552222866	-0.01109676711309316	-0.0222897579237758	auto側(負)	0.9180327868852459
W7.0_N80_close	10	1	183	-0.008308095211887884	0.0017777104747699348	-0.008182185553336647	auto側(負)	0.9453551912568307
W7.0_N80_close	10	7	183	-0.044818861104445745	-0.02219353422618632	-0.04457951584755159	auto側(負)	0.9180327868852459
W7.0_N80_close	15	1	183	-0.012462142817831815	0.0026665657121548885	-0.012273278330004965	auto側(負)	0.9453551912568307
W7.0_N80_close	15	7	183	-0.0672282916566686	-0.033290301339279474	-0.0668692737713274	auto側(負)	0.9180327868852459
W7.0_N80_close	30	1	183	-0.024924285635663637	0.005333131424309777	-0.02454655666000993	auto側(負)	0.9453551912568307
W7.0_N80_close	30	7	183	-0.1344565833133372	-0.06658060267855895	-0.1337385475426548	auto側(負)	0.9180327868852459
W7.0_N80_hold	3	1	183	-0.0011553293918571302	0.0025810067122546345	-0.0011068496973387105	auto側(負)	0.9617486338797814
W7.0_N80_hold	3	7	183	-0.023165533853030187	-0.006331723997793298	-0.022929259337251515	auto側(負)	0.9617486338797814
W7.0_N80_hold	5	1	183	-0.0019255489864285402	0.004301677853757714	-0.001844749495564518	auto側(負)	0.9617486338797814
W7.0_N80_hold	5	7	183	-0.03860922308838365	-0.010552873329655498	-0.03821543222875253	auto側(負)	0.9617486338797814
W7.0_N80_hold	10	1	183	-0.003851097972857091	0.008603355707515446	-0.0036894989911290346	auto側(負)	0.9617486338797814
W7.0_N80_hold	10	7	183	-0.07993708244927517	-0.022027289829337167	-0.07915678077543642	auto側(負)	0.9617486338797814
W7.0_N80_hold	15	1	183	-0.005776646959285629	0.012905033561273156	-0.005534248486693545	auto側(負)	0.9617486338797814
W7.0_N80_hold	30	1	183	-0.01886693495522483	0.017534134970626468	-0.01839975226926198	auto側(負)	0.9617486338797814
W7.0_N80_recover	3	1	183	-0.00042553786859821985	0.002560766110661048	-0.00038660203217407823	auto側(負)	0.9453551912568307
W7.0_N80_recover	5	1	183	-0.0007092297809970285	0.004267943517768405	-0.0006443367202901281	auto側(負)	0.9453551912568307
W7.0_N80_recover	10	1	183	-0.0014184595619940606	0.008535887035536822	-0.0012886734405802612	auto側(負)	0.9453551912568307
W7.0_N80_recover	15	1	183	-0.002127689342991087	0.01280383055330522	-0.0019330101608703814	auto側(負)	0.9453551912568307
W7.0_N80_recover	30	1	183	-0.012345297669707662	0.017170647051455372	-0.011964703635384284	auto側(負)	0.9453551912568307
W10.0_N40_close	3	1	183	-4.972905740826775e-05	0.0010206902508697927	-3.875604101482799e-05	auto側(負)	0.994535519125683
W10.0_N40_close	5	1	183	-8.288176234710928e-05	0.0017011504181163285	-6.459340169137614e-05	auto側(負)	0.994535519125683
W10.0_N40_close	10	1	183	-0.00016576352469422766	0.0034023008362326413	-0.0001291868033827638	auto側(負)	0.994535519125683
W10.0_N40_close	15	1	183	-0.0002486452870413327	0.005103451254348976	-0.0001937802050741375	auto側(負)	0.994535519125683
W10.0_N40_close	30	1	183	-0.000497290574082669	0.010206902508697952	-0.00038756041014827863	auto側(負)	0.994535519125683
W10.0_N40_hold	3	1	183	0.0009720928191313617	0.002163685376943902	0.000985817925688737	reverse側(正)	0.994535519125683
W10.0_N40_hold	3	7	183	-0.008957249857949446	-0.0023097886742658104	-0.008899716312867489	auto側(負)	0.9672131147540983
W10.0_N40_hold	5	1	183	0.0016201546985522759	0.003606142294906512	0.0016430298761479008	reverse側(正)	0.994535519125683
W10.0_N40_hold	10	1	183	0.0032403093971045387	0.007212284589813008	0.0032860597522957886	reverse側(正)	0.994535519125683
W10.0_N40_hold	15	1	183	0.0048604640956568185	0.010818426884719524	0.004929089628443691	reverse側(正)	0.994535519125683
W10.0_N40_recover	3	1	183	0.0008518362813785749	0.0018894699098851533	0.0008628092977720146	reverse側(正)	0.994535519125683
W10.0_N40_recover	5	1	183	0.001419727135630964	0.003149116516475264	0.001438015496286697	reverse側(正)	0.994535519125683
W10.0_N40_recover	10	1	183	0.0028394542712619182	0.006298233032950511	0.002876030992573382	reverse側(正)	0.994535519125683
W10.0_N40_recover	15	1	183	0.0042591814068928865	0.00944734954942578	0.004314046488860083	reverse側(正)	0.994535519125683
W10.0_N80_close	3	1	183	-0.0008678584512582746	0.0013109673492335012	-0.0008423708631435142	auto側(負)	0.9562841530054644
W10.0_N80_close	3	7	183	-0.013545785171618903	-0.00691152984012675	-0.013460947713588647	auto側(負)	0.9180327868852459
W10.0_N80_close	5	1	183	-0.0014464307520971234	0.002184945582055825	-0.0014039514385725254	auto側(負)	0.9562841530054644
W10.0_N80_close	5	7	183	-0.022576308619364834	-0.011519216400211243	-0.022434912855981076	auto側(負)	0.9180327868852459
W10.0_N80_close	10	1	183	-0.002892861504194247	0.0043698911641116694	-0.0028079028771450473	auto側(負)	0.9562841530054644
W10.0_N80_close	10	7	183	-0.04515261723872968	-0.023038432800422483	-0.04486982571196215	auto側(負)	0.9180327868852459
W10.0_N80_close	15	1	183	-0.004339292256291376	0.006554836746167499	-0.00421185431571757	auto側(負)	0.9562841530054644
W10.0_N80_close	15	7	183	-0.06772892585809451	-0.03455764920063373	-0.06730473856794321	auto側(負)	0.9180327868852459
W10.0_N80_close	30	1	183	-0.008678584512582748	0.013109673492335003	-0.00842370863143514	auto側(負)	0.9562841530054644
W10.0_N80_close	30	7	183	-0.13545785171618904	-0.06911529840126746	-0.13460947713588642	auto側(負)	0.9180327868852459
W10.0_N80_hold	3	1	183	9.134844418246696e-05	0.002433809826966556	0.00011815551078083613	reverse側(正)	0.9508196721311475
W10.0_N80_hold	3	7	183	-0.0140331095612157	-0.0016452228273894176	-0.013868247035088627	auto側(負)	0.9344262295081968
W10.0_N80_hold	5	1	183	0.00015224740697077888	0.0040563497116109185	0.00019692585130139115	reverse側(正)	0.9508196721311475
W10.0_N80_hold	5	7	183	-0.023388515935359504	-0.0027420380456490297	-0.023113745058481048	auto側(負)	0.9344262295081968
W10.0_N80_hold	10	1	183	0.00030449481394155596	0.008112699423221854	0.0003938517026027841	reverse側(正)	0.9508196721311475
W10.0_N80_hold	10	7	183	-0.0480611796285181	-0.006982469511665358	-0.04751488614491146	auto側(負)	0.9344262295081968
W10.0_N80_hold	15	1	183	0.00045674222091232814	0.012169049134832778	0.0005907775539041771	reverse側(正)	0.9508196721311475
W10.0_N80_hold	15	7	183	-0.08398819062823058	-0.02215513436795195	-0.08320126637105837	auto側(負)	0.9344262295081968
W10.0_N80_hold	30	1	183	-0.0041195609043870205	0.01833076107919171	-0.0038679559095098986	auto側(負)	0.9508196721311475
W10.0_N80_recover	3	1	183	3.135139343243695e-05	0.0021916276657848606	5.648033554309778e-05	reverse側(正)	0.9562841530054644
W10.0_N80_recover	5	1	183	5.225232238739552e-05	0.0036527127763080936	9.413389257182903e-05	reverse側(正)	0.9562841530054644
W10.0_N80_recover	10	1	183	0.00010450464477478921	0.007305425552616205	0.0001882677851436623	reverse側(正)	0.9562841530054644
W10.0_N80_recover	15	1	183	0.00015675696716217866	0.010958138328924304	0.00028240167771549255	reverse側(正)	0.9562841530054644
W10.0_N80_recover	30	1	183	-0.004257791786090078	0.017171139728431307	-0.004009779562729356	auto側(負)	0.9562841530054644
