bucket	T_h	n	R_act_mean	R_act_med	R_flip_mean	dR	dR_mirror	amp_mean_pct	absnet_mean_pct	net_over_amp	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	dRm_lo95	dRm_hi95	dRm_loADJ	dRm_hiADJ	cap_pct	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0,0.05)	1	531	0.7876316464466384	0.8028169014084287	0.781828938887727	0.005802707558911486	0.005869018387025635	0.64883989822817	0.3280514896289343	0.5055969747310025	-0.01103018986390942	0.022267769360866354	-0.021240448084340533	0.030954790783574875	-0.01093378145729427	0.022347755556739575	-0.021140343428105998	0.030964580684655855	0.0037650281819719615	-0.007027201043827594	0.014771482245833268	-0.013643174242956592	0.021022427869531388
[0,0.05)	4	531	0.7883264031805245	0.8157894736842417	0.7756662107386383	0.012660192441886172	0.01267501435684547	1.3806162473745494	0.678082839284911	0.49114505248970386	-0.006980481019983512	0.03128021623342167	-0.018938634649744407	0.0411348312370275	-0.0070038860724096035	0.03128294065176668	-0.019103872661885412	0.041237266793962356	0.01747886738015652	-0.00957392959843797	0.04407709500425941	-0.02558838584153781	0.059637801554167584
[0,0.05)	12	531	0.7940523531244047	0.8217821782178267	0.7736898971261227	0.020362455998282077	0.02026571872237412	2.8159589601465154	1.4557833837705738	0.5169760654803112	0.0041017560000810695	0.03666755133810277	-0.0051619064024592464	0.0465977787413719	0.004018423730837251	0.036622097052667966	-0.005277042314524826	0.046521990472090186	0.05733984041895157	0.011242651612891254	0.10741977118584532	-0.014177663151206252	0.13824542542767967
[0,0.05)	24	531	0.7894805665214706	0.826203208556155	0.7738046170407408	0.015675949480729645	0.015845445168908817	4.266322011795848	2.0920621183625685	0.49036667006810036	-5.7058539081405026e-05	0.03145570776371288	-0.008681315610668244	0.04100719658044513	3.265973323244556e-05	0.03162943186293229	-0.008922847193625112	0.041549238568617794	0.06687864832543657	-0.0002507964906241881	0.13831354451625288	-0.036500666993625495	0.185974922804371
[0.05,0.10)	1	459	0.7745904863141504	0.779600454767198	0.7803210225372141	-0.005730536223063829	-0.005683359480438694	0.7039617455148522	0.32682370649254466	0.46426344694840993	-0.02102163811543786	0.010503088507010608	-0.028842822297480288	0.02003100982259904	-0.0209855519795392	0.01049708348371814	-0.02880129629201201	0.020034585547983704	-0.004034078282324102	-0.014629698972191369	0.007532702945971249	-0.02022528743449493	0.014490612699310642
[0.05,0.10)	4	459	0.7811887850192251	0.8035714285714365	0.7758794692610816	0.005309315758143511	0.005483256737380402	1.5848372499773613	0.7362949161995604	0.46458708375896524	-0.010815600421645349	0.020776216828088872	-0.02037127791759967	0.029973187369610497	-0.010626899355916332	0.0209465281453199	-0.02012496637635787	0.030134189209797324	0.00841440138539763	-0.016550692878435108	0.03444467149489497	-0.031187897457603288	0.051383662916542436
[0.05,0.10)	12	459	0.7695034021509594	0.7812500000000234	0.7738728843437568	-0.0043694821927976	-0.004282087128613233	2.9825909498190013	1.3351661721510877	0.447653129314334	-0.019953910592139888	0.011880027608195608	-0.027576014334310395	0.021195718717442063	-0.019879846294807133	0.011949792731239379	-0.027420789579732995	0.02121279726371732	-0.013032378043633407	-0.05838596009471922	0.036178924868626845	-0.0818038328226838	0.06795412954219726
[0.05,0.10)	24	459	0.7806562697463686	0.794377928162426	0.773828303253132	0.006827966493236634	0.006807369810366369	4.589155706078333	2.1402515426797724	0.46637152447126845	-0.009140613004094649	0.02305353562844841	-0.018290675854879777	0.03265717018128687	-0.009242367295681998	0.02317118964930222	-0.0182024063898228	0.032834369047352305	0.031334601393348566	-0.04115009603604051	0.10864203318547558	-0.08138574461054386	0.15862304717931422
[0.10,0.25)	1	1335	0.7791955762119687	0.7900466562984856	0.7808675382213418	-0.0016719620093731114	-0.001611197789980159	0.8624700532857429	0.4227831308325834	0.4902003602582038	-0.013459686230376734	0.010251633933699393	-0.02057599453801408	0.01762125388019235	-0.013411971072382688	0.010308361299539204	-0.02055275466502866	0.017714489262497454	-0.001442017163315765	-0.0113499801227847	0.009087103677995811	-0.016956142085514003	0.015813275863379335
[0.10,0.25)	4	1335	0.7786286519977925	0.791666666666628	0.7754514866936759	0.003177165304116432	0.003308708033040004	1.8665560928136422	0.897537244071691	0.48085200735582795	-0.007468118399289939	0.013912114922783944	-0.01378335179819179	0.020379013236050066	-0.007332515441106912	0.014087270996534194	-0.013686697623068862	0.020521650853451784	0.005930357256274635	-0.013586163950029706	0.02672768345072259	-0.02438890598793311	0.040123785485248614
[0.10,0.25)	12	1335	0.781395786469605	0.7950617283950626	0.7739254241365294	0.0074703623330754036	0.007700994354105715	3.508671448194665	1.6663579600634886	0.4749256191886785	-0.0026104920101766567	0.017601533179963037	-0.008161140433824095	0.023900009048127235	-0.0023421059959669956	0.01783021801939042	-0.007976287776533615	0.024064498278450665	0.026211047025730554	-0.009043321894394095	0.06309500854485689	-0.027744472216300973	0.084792843954618
[0.10,0.25)	24	1335	0.7903569577462913	0.8045112781954912	0.7732375445640998	0.017119413182191547	0.01750222239450129	5.17551840530338	2.4513428486838937	0.473641992302064	0.007342051282055335	0.027147712222502167	0.0016187292814486582	0.03293044384206535	0.007771508846901666	0.027556248741828448	0.002120430541271742	0.03315538276481219	0.08860183801242565	0.03725242814063526	0.14448420537015338	0.008214800509229247	0.1784230566686105
[0.25,0.50)	1	2117	0.7793343602593061	0.7894736842106056	0.7793530925698049	-1.873231049863745e-05	-1.2669495397105276e-05	0.9322576835981019	0.4342379583997593	0.46579177199569227	-0.009258650312881	0.009347150224393938	-0.01478933450178229	0.014681727568807982	-0.009263735040232961	0.009381479098942805	-0.014803650246740779	0.014686284862256056	-1.7463340393900155e-05	-0.008583473362735934	0.008768682067349272	-0.01357317457042247	0.013990648081444396
[0.25,0.50)	4	2117	0.7753659951593865	0.7888446215139517	0.7749635466576807	0.0004024485017057482	0.00041122468542686616	1.985103005284189	0.9573817879783297	0.48228317897351136	-0.008256173138121485	0.008951264101264454	-0.012717223934119596	0.013484518676766798	-0.008290786736959304	0.008999826669840704	-0.012844942091234674	0.013511888972043282	0.0007989017302081998	-0.016227888075107243	0.018033345708734685	-0.02485235666665082	0.027717399588998187
[0.25,0.50)	12	2117	0.7783384567103001	0.7894999999999889	0.7737203211079537	0.004618135602346366	0.004620806407163091	3.66237781989844	1.7355243089675538	0.47387910104143244	-0.005302962552378975	0.01460322038398765	-0.01068932174251441	0.02041539374044333	-0.005303802609344578	0.01463677393555777	-0.01077964476974025	0.020511571259620553	0.016913357399316653	-0.01918665928810793	0.05470209535306221	-0.03796987568411416	0.07781705655299909
[0.25,0.50)	24	2117	0.7831798961972627	0.7996661101836398	0.7731962404725797	0.009983655724683026	0.010157401283127858	5.547020744964584	2.6383608255364757	0.47563565143171654	0.0009070366934618065	0.01888902311401408	-0.00448661086170459	0.024064105440255126	0.0011153550240527094	0.01902050692282207	-0.004401748691852397	0.02440655828327977	0.055379545415401174	0.00487385156680921	0.10636703223121452	-0.024228723523989176	0.13723647878116607
[0.50,0.75)	1	2232	0.7685180550599863	0.777777777777739	0.7793853960986398	-0.01086734103865345	-0.010685202848993396	1.1167652076920669	0.512516260103601	0.45892928663382976	-0.020513627528016082	-0.0015573263792683781	-0.02583211544206443	0.004347393275020689	-0.020328300245380706	-0.0013851841503358642	-0.025694093516719696	0.0045824131918199935	-0.012136268372092342	-0.02280149626135422	-0.001739088516950069	-0.028819436526541505	0.0049146394292571855
[0.50,0.75)	4	2232	0.77385391289145	0.7887323943662045	0.7746270813383823	-0.000773168446932345	-0.0005565282152820108	2.3808356018792827	1.133727831108109	0.47618904480982016	-0.009411362652835896	0.007660315918037288	-0.014083935120201521	0.013249907644616246	-0.009153408526883006	0.007855153193580279	-0.013852840094142522	0.013361282379592932	-0.0018407869647062399	-0.022026939961051824	0.01858948869711994	-0.032380563869619294	0.03196788400769123
[0.50,0.75)	12	2232	0.7739310699144408	0.7872223996381111	0.7737007426562876	0.00023032725815319953	0.0005626450334935777	4.240839017829957	1.938068834767185	0.45700127418628056	-0.009355990018214393	0.00961014661625547	-0.014966331876773358	0.014528842948365792	-0.008973829449087777	0.009889463560723349	-0.014563694723727538	0.014690977753543387	0.0009767808232458816	-0.038851155055360874	0.04186299875322256	-0.06206961679879807	0.06459968971335138
[0.50,0.75)	24	2232	0.7720227775309181	0.7883484162895875	0.773201401095078	-0.0011786235641599847	-0.0007807357388854467	6.166778686093877	2.8495174218309596	0.4620755124967657	-0.010201747502197765	0.007846155409061407	-0.015186324155190885	0.013436139842998898	-0.00977149615089013	0.008226278073052115	-0.014759477365735605	0.014014235418531102	-0.007268310674389792	-0.06194864085449082	0.04982349389782814	-0.09239580934227505	0.08747755230151955
[0.75,1.0]	1	2336	0.7665820674097917	0.7714285714285767	0.7769458435318184	-0.010363776122026675	-0.010231329135551043	1.5472898055586108	0.733174260101644	0.4738441741603471	-0.02062776348002827	0.00012191134984853733	-0.026137923891899523	0.006223233270147893	-0.020499579762045857	0.0002862709757449852	-0.02602449523280558	0.00638024282983837	-0.01603576514070363	-0.03183270768957225	0.00019351800865951915	-0.039541122286847766	0.01019633928222297
[0.75,1.0]	4	2336	0.7692096568260852	0.7773978454378132	0.7744163424854645	-0.0052066856593792656	-0.004858064810641698	3.034239351051413	1.3890516344776567	0.45779237356351854	-0.014205937002712268	0.0038875499254368054	-0.019604187635148238	0.008588213856091976	-0.013836963394744052	0.004244330883507698	-0.019265985651815833	0.00895376634232537	-0.01579833051624364	-0.04244962191928282	0.011967538715433563	-0.059029703044961614	0.026643605076020867
[0.75,1.0]	12	2336	0.7685304455352231	0.7823934567369797	0.7733330688728756	-0.004802623337652543	-0.004928479370721602	5.059548841050002	2.270339921342268	0.44872378796349505	-0.015191118478081776	0.0055086826044180295	-0.021308377892524696	0.010932435512425207	-0.015227386601501762	0.005336409551115646	-0.0213694733873171	0.010580272414701324	-0.024299107342019614	-0.075768925348943	0.028275835778770183	-0.1059780171350449	0.056438712118937036
[0.75,1.0]	24	2336	0.7710248819715843	0.7820209016891475	0.7728395627048463	-0.0018146807332620903	-0.0017898580917115557	7.115662294393678	3.200639288194484	0.44980202204315106	-0.011798961745774779	0.008121406449457327	-0.017184625181555592	0.013895803829779046	-0.011755782906616	0.008189884777232153	-0.01712035987230912	0.014154832353007407	-0.012912655270035727	-0.08321091459402576	0.0577501693113524	-0.12012318257350116	0.0990688812318853
