pair	n_anchor	drops	lhs	n_bar_window	ok	last_anchor	max_data_date
BTC/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
ETH/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
ADA/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
SOL/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
XRP/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
DOGE/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
BNB/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
LINK/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
LTC/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
AVAX/USDT	901	150	87547	87547	True	2025-06-29 02:45:00	2025-06-30 23:45:00
