bucket	T_h	n	dR	lo95	hi95	loADJ	hiADJ	cap_pct	cap_loADJ_pct	cap_hiADJ_pct
[0,0.05)	1	531	0.005802707558911486	-0.011197442261729182	0.022234622413021703	-0.021326153241375226	0.031481323281473766	0.0037650281819719615	-0.013561508707639698	0.021209462233126888
[0,0.05)	4	531	0.012660192441886172	-0.006905170914977003	0.03112587598041138	-0.018276201105340464	0.041014358866424815	0.01747886738015652	-0.024851615250189592	0.059013775119550055
[0,0.05)	12	531	0.020362455998282077	0.00430937836045056	0.03686533446515703	-0.004597591060684518	0.04628639750381444	0.05733984041895157	-0.012668877031246495	0.13960313302334493
[0,0.05)	24	531	0.015675949480729645	0.00011368145702446834	0.03159394188082464	-0.00860866549970526	0.0408542605513329	0.06687864832543657	-0.03583539548924599	0.18452304105057013
[0.05,0.10)	1	459	-0.005730536223063829	-0.021071174194116842	0.010589820910385551	-0.02954383632114657	0.020191818938382504	-0.004034078282324102	-0.020617904232505896	0.014831823859923045
[0.05,0.10)	4	459	0.005309315758143511	-0.010732625784625048	0.020793721162658374	-0.020189614020443173	0.029607418518580213	0.00841440138539763	-0.030486830581931006	0.05047442537444241
[0.05,0.10)	12	459	-0.0043694821927976	-0.019966045427639596	0.01198597140449881	-0.02867229199255556	0.02160706921115493	-0.013032378043633407	-0.08375935480641127	0.06792873532597989
[0.05,0.10)	24	459	0.006827966493236634	-0.009004393628077756	0.023339978207980488	-0.018058202059436358	0.03309264124908935	0.031334601393348566	-0.08017605085057984	0.1595994551256784
[0.10,0.25)	1	1335	-0.0016719620093731114	-0.01344289344497398	0.010356515061805913	-0.020071484143562378	0.017408517732329567	-0.001442017163315765	-0.016728379304040877	0.015754213953903612
[0.10,0.25)	4	1335	0.003177165304116432	-0.007479488253892938	0.013878359491366041	-0.013527345365073488	0.020011066905988858	0.005930357256274635	-0.024480775929249927	0.0392269435076482
[0.10,0.25)	12	1335	0.0074703623330754036	-0.002419029605710453	0.017508637937036498	-0.008079367587678375	0.023274610473080246	0.026211047025730554	-0.02768912891205317	0.08469772480182533
[0.10,0.25)	24	1335	0.017119413182191547	0.007296809545289908	0.02716494068787752	0.0018063434668323013	0.03297829177241669	0.08860183801242565	0.009075392562199067	0.17773540023087203
[0.25,0.50)	1	2117	-1.873231049863745e-05	-0.009385833434110804	0.00942648330528288	-0.014502524345481618	0.014870713455581757	-1.7463340393900155e-05	-0.013425845930332157	0.014213710172520475
[0.25,0.50)	4	2117	0.0004024485017057482	-0.008089258117874904	0.008865817732644877	-0.012940844358635139	0.013742497377651007	0.0007989017302081998	-0.02523216726531723	0.027848180931260336
[0.25,0.50)	12	2117	0.004618135602346366	-0.005211658026035383	0.014543914555090305	-0.010814056103595463	0.020228231241196486	0.016913357399316653	-0.03858619791650894	0.07679746177016886
[0.25,0.50)	24	2117	0.009983655724683026	0.0010046798339125855	0.01895756779281885	-0.004037473678100009	0.024156921176400337	0.055379545415401174	-0.022037465037827497	0.137616488295104
[0.50,0.75)	1	2232	-0.01086734103865345	-0.02047817363552365	-0.0013454974835000215	-0.025908361445725354	0.004061959526489913	-0.012136268372092342	-0.029005813343067136	0.004588897532674133
[0.50,0.75)	4	2232	-0.000773168446932345	-0.009393559484841389	0.007659186547155679	-0.014439351933851692	0.012348041611681734	-0.0018407869647062399	-0.033651045757467794	0.030561450753927907
[0.50,0.75)	12	2232	0.00023032725815319953	-0.009345919823116463	0.00969487592038182	-0.014922966852882193	0.015012849866035106	0.0009767808232458816	-0.061477845272641614	0.06649542866869936
[0.50,0.75)	24	2232	-0.0011786235641599847	-0.010190637086762136	0.007867365034269545	-0.015193436728050626	0.01286925589469048	-0.007268310674389792	-0.09153708853884575	0.0822975124423165
[0.75,1.0]	1	2336	-0.010363776122026675	-0.02065975887852981	4.7033445413348154e-05	-0.026482009372916945	0.00599078455440909	-0.01603576514070363	-0.040425466198411385	0.00953150397999098
[0.75,1.0]	4	2336	-0.0052066856593792656	-0.014282149515265779	0.0039009761352708453	-0.019425787174467274	0.009156535410021064	-0.01579833051624364	-0.05809524901681872	0.028519629695979674
[0.75,1.0]	12	2336	-0.004802623337652543	-0.015161133844477826	0.0055173520530180245	-0.021006765118031113	0.011455477512500253	-0.024299107342019614	-0.10465271591720203	0.05923478013688324
[0.75,1.0]	24	2336	-0.0018146807332620903	-0.01175995891382886	0.008113520194575124	-0.017431480247541344	0.01388986759475451	-0.012912655270035727	-0.12332549366351295	0.10031043413175217
