cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W3.0_N40_close	3	1	366	-0.0028140735906049055	0.0005700222029275424	-0.002787364412235156	auto側(負)	0.9262295081967213
W3.0_N40_close	3	7	366	-0.004129820972290131	0.00016194838699333912	-0.004096499543715458	auto側(負)	0.9098360655737705
W3.0_N40_close	3	30	366	-0.004196372882098362	0.00010881804511114999	-0.0041626855658187705	auto側(負)	0.9098360655737705
W3.0_N40_close	5	1	366	-0.004690122651008178	0.0009500370048792377	-0.004645607353725258	auto側(負)	0.9262295081967213
W3.0_N40_close	5	7	366	-0.006883034953816883	0.0002699139783222322	-0.006827499239525758	auto側(負)	0.9098360655737705
W3.0_N40_close	5	30	366	-0.00699395480349727	0.00018136340851858382	-0.006937809276364611	auto側(負)	0.9098360655737705
W3.0_N40_close	10	1	366	-0.009380245302016359	0.001900074009758474	-0.00929121470745051	auto側(負)	0.9262295081967213
W3.0_N40_close	10	7	366	-0.013766069907633766	0.0005398279566444625	-0.013654998479051515	auto側(負)	0.9098360655737705
W3.0_N40_close	10	30	366	-0.01398790960699454	0.0003627268170371652	-0.013875618552729223	auto側(負)	0.9098360655737705
W3.0_N40_close	15	1	366	-0.014070367953024535	0.0028501110146377136	-0.013936822061175773	auto側(負)	0.9262295081967213
W3.0_N40_close	15	7	366	-0.020649104861450652	0.000809741934966694	-0.02048249771857727	auto側(負)	0.9098360655737705
W3.0_N40_close	15	30	366	-0.02098186441049181	0.0005440902255557478	-0.02081342782909383	auto側(負)	0.9098360655737705
W3.0_N40_close	30	1	366	-0.028140735906049073	0.005700222029275421	-0.02787364412235154	auto側(負)	0.9262295081967213
W3.0_N40_close	30	7	366	-0.0412982097229013	0.0016194838699333856	-0.04096499543715454	auto側(負)	0.9098360655737705
W3.0_N40_close	30	30	366	-0.04196372882098361	0.0010881804511114932	-0.04162685565818766	auto側(負)	0.9098360655737705
W3.0_N40_hold	3	1	366	-0.00431763735442468	0.002022435558308346	-0.004246978296535344	auto側(負)	0.9426229508196722
W3.0_N40_hold	5	1	366	-0.007196062257374466	0.0033707259305139087	-0.0070782971608922395	auto側(負)	0.9426229508196722
W3.0_N40_hold	10	1	366	-0.014392124514748937	0.006741451861027805	-0.014156594321784476	auto側(負)	0.9426229508196722
W3.0_N40_hold	15	1	366	-0.02360971638974459	0.010112177791541718	-0.0232564211002979	auto側(負)	0.9426229508196722
W4.6_N40_close	3	1	366	-0.002189651745402582	0.0005092695603968984	-0.0021651990186402916	auto側(負)	0.9781420765027322
W4.6_N40_close	5	1	366	-0.0036494195756709754	0.0008487826006614969	-0.0036086650310671532	auto側(負)	0.9781420765027322
W4.6_N40_close	10	1	366	-0.007298839151341948	0.0016975652013229993	-0.007217330062134305	auto側(負)	0.9781420765027322
W4.6_N40_close	15	1	366	-0.010948258727012923	0.002546347801984498	-0.010825995093201457	auto側(負)	0.9781420765027322
W4.6_N40_close	30	1	366	-0.021896517454025842	0.005092695603968994	-0.021651990186402917	auto側(負)	0.9781420765027322
W4.6_N40_hold	3	1	366	-0.0014716954763531415	0.0025875126112343593	-0.0014216023141810118	auto側(負)	0.9863387978142076
W4.6_N40_hold	3	7	366	-0.016311718169679468	0.00042813033124349485	-0.01610597415820405	auto側(負)	0.953551912568306
W4.6_N40_hold	5	1	366	-0.0024528257939219053	0.004312521018723935	-0.0023693371903016807	auto側(負)	0.9863387978142076
W4.6_N40_hold	5	7	366	-0.02718619694946578	0.00071355055207249	-0.026843290263673415	auto側(負)	0.953551912568306
W4.6_N40_hold	10	1	366	-0.004905651587843815	0.008625042037447876	-0.004738674380603365	auto側(負)	0.9863387978142076
W4.6_N40_hold	15	1	366	-0.0073584773817657245	0.012937563056171815	-0.007108011570905048	auto側(負)	0.9863387978142076
W4.6_N40_hold	30	1	366	-0.028699467903350172	0.016159474453566743	-0.028216429211137022	auto側(負)	0.9890710382513661
