cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W3.0_N40_close	3	1	186	-0.0033318333995545576	-3.4819405104409544e-05	-0.003299672832417463	auto側(負)	0.956989247311828
W3.0_N40_close	3	7	186	-0.005247217364791205	-0.0010986725751584423	-0.00521216554362186	auto側(負)	0.946236559139785
W3.0_N40_close	3	30	186	-0.005247217364791205	-0.0010986725751584423	-0.00521216554362186	auto側(負)	0.946236559139785
W3.0_N40_close	5	1	186	-0.005553055665924258	-5.8032341840691336e-05	-0.005499454720695776	auto側(負)	0.956989247311828
W3.0_N40_close	5	7	186	-0.008745362274652002	-0.0018311209585974114	-0.008686942572703093	auto側(負)	0.946236559139785
W3.0_N40_close	5	30	186	-0.008745362274652002	-0.0018311209585974114	-0.008686942572703093	auto側(負)	0.946236559139785
W3.0_N40_close	10	1	186	-0.011106111331848512	-0.00011606468368137729	-0.010998909441391543	auto側(負)	0.956989247311828
W3.0_N40_close	10	7	186	-0.01749072454930401	-0.0036622419171948146	-0.01737388514540619	auto側(負)	0.946236559139785
W3.0_N40_close	10	30	186	-0.01749072454930401	-0.0036622419171948146	-0.01737388514540619	auto側(負)	0.946236559139785
W3.0_N40_close	15	1	186	-0.016659166997772774	-0.00017409702552207519	-0.016498364162087317	auto側(負)	0.956989247311828
W3.0_N40_close	15	7	186	-0.026236086823956017	-0.005493362875792232	-0.026060827718109282	auto側(負)	0.946236559139785
W3.0_N40_close	15	30	186	-0.026236086823956017	-0.005493362875792232	-0.026060827718109282	auto側(負)	0.946236559139785
W3.0_N40_close	30	1	186	-0.033318333995545554	-0.0003481940510441319	-0.03299672832417464	auto側(負)	0.956989247311828
W3.0_N40_close	30	7	186	-0.05247217364791202	-0.010986725751584452	-0.05212165543621856	auto側(負)	0.946236559139785
W3.0_N40_close	30	30	186	-0.05247217364791202	-0.010986725751584452	-0.05212165543621856	auto側(負)	0.946236559139785
W3.0_N40_hold	3	1	186	-0.006695996287486663	-0.001176474408338941	-0.006628787531841495	auto側(負)	0.9301075268817204
W3.0_N40_hold	5	1	186	-0.011159993812477776	-0.0019607906805649013	-0.011047979219735835	auto側(負)	0.9301075268817204
