pair	T_h	max_err_eps_plus_vs_direct	max_err_Ract_vs_run8	max_err_amp_vs_run8	max_err_mirror_logR	max_err_mirror_AB_swap	max_dev_mirror_priceR	mean_signed_dev_mirror_priceR	mean_abs_dev_mirror_priceR	brute_half	brute_alt	brute_rand
BTC/USDT	1	1.3062467774105357e-15	1.55964130499342e-12	2.2646814978877217e-15	0.0	0.0	0.00745920112658216	6.136081263403326e-05	0.0009221513802720631	0.0	0.0	0.0
BTC/USDT	4	2.671474153004283e-15	1.1909362385154054e-12	2.921274333544943e-15	0.0	0.0	0.012114889066767387	3.8155952736254306e-05	0.001953518546777638	0.0	0.0	0.0
BTC/USDT	12	3.809452753245068e-15	4.922728891187944e-13	4.288236432614667e-15	0.0	0.0	0.026867689292653596	8.889686491673853e-05	0.0034812469038737626	0.0	0.0	0.0
BTC/USDT	24	4.891920202254596e-15	4.592992652874273e-13	5.1937620870745604e-15	0.0	0.0	0.03320812914517235	5.288633893561344e-07	0.005043189287622377	0.0	0.0	0.0
ETH/USDT	1	1.0351962342891596e-15	1.102340441150318e-12	2.1788126858268697e-15	0.0	0.0	0.007774975159050013	0.000124321381869205	0.0011590011135867587	0.0	0.0	0.0
ETH/USDT	4	2.7139748781657147e-15	3.5982328228101323e-13	2.609024107869118e-15	0.0	0.0	0.01698863051484012	0.0001336627066612342	0.0023968813932428736	0.0	0.0	0.0
ETH/USDT	12	3.9794556538907955e-15	3.4861002973229915e-13	3.875372245332187e-15	0.0	0.0	0.037104242349712435	3.2273942951194904e-05	0.004394596388963145	0.0	0.0	0.0
ETH/USDT	24	6.016021014687567e-15	4.496403249731884e-13	4.9404924595819466e-15	0.0	0.0	0.040319248177695166	0.00022577854756229747	0.0063834305030330074	0.0	0.0	0.0
ADA/USDT	1	1.4155343563970746e-15	2.879918525877656e-13	1.556046957951196e-15	0.0	0.0	0.01131392488218852	0.00012470424750399612	0.001719562230091286	0.0	0.0	0.0
ADA/USDT	4	3.144186300207963e-15	2.814415367424772e-13	3.252172836587519e-15	0.0	0.0	0.02659235585120523	0.00032836044036415745	0.003547418647667608	0.0	0.0	0.0
ADA/USDT	12	7.964115478209521e-15	5.864198016070077e-13	6.6682770416548465e-15	0.0	0.0	0.05611847194972641	0.0004708724603243543	0.006298016103664713	0.0	0.0	0.0
ADA/USDT	24	1.1393663790215669e-14	4.733990977001667e-13	1.0654671589449549e-14	0.0	0.0	0.06775248750898433	0.00012049684255518042	0.0090356210108016	0.0	0.0	0.0
SOL/USDT	1	1.0894063429134349e-15	2.4780177909633494e-13	1.6202317265623378e-15	0.0	0.0	0.015306773247161787	6.240658599625102e-05	0.001999981062869362	0.0	0.0	0.0
SOL/USDT	4	3.571795637036246e-15	2.3514523661560816e-13	3.4677122284776374e-15	0.0	0.0	0.020842176731962758	3.043050849591952e-05	0.00404179485632427	0.0	0.0	0.0
SOL/USDT	12	5.6690763194922056e-15	2.0261570199409107e-13	4.884981308350689e-15	0.0	0.0	0.05612597618245241	-0.00045013777058836377	0.007149519333898827	0.0	0.0	0.0
SOL/USDT	24	1.0000680839006293e-14	2.922107000813412e-13	8.278100427361323e-15	0.0	0.0	0.0644568540196242	0.00014295995008835202	0.010121933992170326	0.0	0.0	0.0
XRP/USDT	1	1.4450246554886803e-15	2.7133850721838826e-13	1.0668549377257364e-15	0.0	0.0	0.03400484659415337	0.00013524482468026182	0.0015828161017294215	0.0	0.0	0.0
XRP/USDT	4	2.746934624209274e-15	3.0808688933348094e-13	2.3505503099485736e-15	0.0	0.0	0.03400484659415337	3.341112660509436e-05	0.003307106938977896	0.0	0.0	0.0
XRP/USDT	12	5.131312041939395e-15	4.466427228067005e-13	4.89538964920655e-15	0.0	0.0	0.0348612492301652	0.00023236936049821378	0.00563016867682524	0.0	0.0	0.0
XRP/USDT	24	1.0497679114873648e-14	6.085132397970483e-13	8.295447662121092e-15	0.0	0.0	0.053924594007516036	0.0005113456316229131	0.007957096604570455	0.0	0.0	0.0
