bucket	T_h	n	R_act_mean	R_flip_mean	dR	amp_mean_pct	cap_pct	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0,0.05)	1	531	0.7876316464466384	0.7821804062997568	0.005451240146881678	0.64883989822817	0.0035369821021200222	-0.011416466793435468	0.02176511913964169	-0.022119517842469023	0.031066899537371274	-0.007322678648511855	0.014477154029418326	-0.013949061418225763	0.021323291882529658
[0,0.05)	4	531	0.7883264031805245	0.7760750700392373	0.01225133314128733	1.3806162473745494	0.016914389586859563	-0.007554981782636565	0.03066864937829313	-0.018750405799934217	0.04061757238089983	-0.010285047775134427	0.0432181833538	-0.02535453370955895	0.05955857462952695
[0,0.05)	12	531	0.7940523531244047	0.7744192733114632	0.019633079812941576	2.815958960146516	0.055285947014524515	0.003585833797503502	0.036009638766366286	-0.005730053035108534	0.04480996783532152	0.00971813256905549	0.10515197908800379	-0.015255096201954352	0.135665581362524
[0,0.05)	24	531	0.7894805665214706	0.7736613684929626	0.015819198028507793	4.2663220117958485	0.06748979275798028	0.0003889124457260651	0.0316000817952871	-0.008375015724780749	0.04124280424955879	0.0016440020314887937	0.13873776488601294	-0.03493792529611935	0.18659148685776547
[0.05,0.10)	1	459	0.7745904863141504	0.7805650787003447	-0.005974592386194539	0.7039617455148522	-0.004205884484925254	-0.021125400407414806	0.010258443966002695	-0.02892214214357025	0.019855098440115786	-0.014749091114596154	0.007324511715982357	-0.02024971275948183	0.014473289470263549
[0.05,0.10)	4	459	0.7811887850192251	0.7763940630817749	0.004794721937450096	1.584837249977361	0.007598853929754535	-0.011107728108148682	0.02014778441258975	-0.02059369471671889	0.028669367721139937	-0.016980364034831136	0.03340361332034278	-0.030939235897383014	0.05004188278175619
[0.05,0.10)	12	459	0.7695034021509594	0.7742442509505877	-0.004740848799628462	2.9825909498190013	-0.014140012724232128	-0.02023952752077023	0.011532274519858717	-0.03011569352607057	0.020904540361471356	-0.05948601754871928	0.035260577609676776	-0.08728050638762101	0.06378632926939379
[0.05,0.10)	24	459	0.7806562697463686	0.773601828673724	0.007054441072644635	4.5891557060783335	0.03237392850172049	-0.008763153463900641	0.023577820596970136	-0.018299626131752227	0.03376603896843132	-0.03894830821382141	0.11102001382996544	-0.07978692209802271	0.16395217632859385
[0.10,0.25)	1	1335	0.7791955762119687	0.7810852438681976	-0.0018896676562288055	0.8624700532857431	-0.0016297817641600031	-0.013847497104450657	0.010165733105538557	-0.020633597392807186	0.016343360665324852	-0.011688600093937527	0.008979771915916299	-0.016843769989072974	0.014729072661126325
[0.10,0.25)	4	1335	0.7786286519977925	0.7756438586971531	0.002984793300639254	1.8665560928136422	0.005571284121097541	-0.00752579654096817	0.013892801201238406	-0.013671556065581462	0.020280263426547603	-0.013778883673034386	0.0264845970098636	-0.024991936287202057	0.039924818329451266
[0.10,0.25)	12	1335	0.781395786469605	0.7741375409364017	0.007258245533203159	3.5086714481946655	0.025466798866336387	-0.002625161139049614	0.0172058186408808	-0.008104392791337232	0.023352734029672324	-0.009038248170510117	0.06162761178179874	-0.02819215980838338	0.08455663061283517
[0.10,0.25)	24	1335	0.7903569577462913	0.7737731531732576	0.01658380457303376	5.175518405303379	0.08582978579769056	0.006892021798313259	0.026623322425533866	0.0019152975665261435	0.0328156845642685	0.034768362635474254	0.1410448002875562	0.009538575547260878	0.17652150030808908
[0.25,0.50)	1	2117	0.7793343602593061	0.7798591313061219	-0.0005247710468158682	0.9322576835981021	-0.0004892218405239125	-0.010054655908857204	0.00894152668750834	-0.01551211115342393	0.014873561520214018	-0.009309074487890395	0.00839677192595991	-0.014394671364308463	0.014356318023110248
[0.25,0.50)	4	2117	0.7753659951593865	0.7754788800072958	-0.00011288484790948641	1.9851030052841894	-0.0002240880508361701	-0.00867259872341099	0.008433910189417063	-0.013321537605514883	0.012990032646693059	-0.017027534659658027	0.016911545373585635	-0.02591382256131489	0.0265227377811139
[0.25,0.50)	12	2117	0.7783384567103001	0.7737975795325557	0.004540877177744567	3.66237781989844	0.016630407858654727	-0.005490953771713763	0.014597678757101338	-0.011176496323264312	0.020257521320362692	-0.019568953993104682	0.05452566094802806	-0.03934871564462218	0.07667420679773518
[0.25,0.50)	24	2117	0.7831798961972627	0.7731647150935246	0.01001518110373814	5.547020744964583	0.055554417347012754	0.0011522299962409832	0.018925336485163827	-0.003602795837058411	0.024076624168531416	0.006257436469609279	0.10700845157578669	-0.02007699232428767	0.13817437847873607
[0.50,0.75)	1	2232	0.7685180550599863	0.778914325105271	-0.010396270045284628	1.1167652076920669	-0.011610192676345102	-0.01983956995403001	-0.0008098895087839205	-0.025375747256590187	0.003996621549731739	-0.02215895408689973	-0.000927707180712921	-0.02787922371630859	0.004572360149529897
