pair	n_anchor	miss15	miss1m	n_contiguous	n_clamped_A	n_clamped_B	max_abs_P0_vs_1m	eps_mean	eps_n	f32_max_dev	f32_mean_dev
BTC/USDT	901	0	0	901	4	0	0.0	2.6583117523739055e-05	259488000	1.1313916811195313e-06	3.69354792532639e-07
ETH/USDT	901	0	0	901	8	1	0.0	-3.054476507584166e-05	259488000	1.0440264058830806e-06	3.59427725690753e-07
ADA/USDT	901	0	0	901	3	14	0.0	-0.00016993464052287582	259488000	9.651980046321285e-07	3.4675993336230615e-07
SOL/USDT	901	0	0	901	16	2	0.0	9.67906030336663e-05	259488000	1.5727615997329636e-06	3.4588142113545215e-07
XRP/USDT	901	0	0	901	10	1	0.0	0.00014539400665926748	259488000	9.40533654403275e-07	3.3101847898231453e-07
DOGE/USDT	901	0	0	901	7	15	0.0	6.167529905043778e-05	259488000	1.114328526119479e-06	3.6565647883346484e-07
BNB/USDT	901	0	0	901	1	5	0.0	-2.190467381921322e-05	259488000	1.65855841871565e-06	3.362799939332639e-07
LINK/USDT	901	0	0	901	21	14	0.0	-5.346682698236527e-05	259488000	9.548157532401902e-07	3.647929076949774e-07
LTC/USDT	901	0	0	901	5	9	0.0	5.885435935380441e-05	259488000	1.2399953474018233e-06	3.7327221735106165e-07
AVAX/USDT	901	0	0	901	8	17	0.0	-2.8340424220002466e-05	259488000	8.346387855295845e-07	3.0472310075080335e-07
