bucket	T_h	n	sd_ep	se_mine	se_run8	diff	sd_diff	z
[0,0.05)	1	531	0.010757490890785372	0.00026952750997784797	0.00046683534131916014	4.917112434210669e-05	0.0005390550199556958	0.09121726451253157
[0,0.05)	4	531	0.010809989610526972	0.0002708428584501482	0.0004691135917028422	0.0004723095309844272	0.0005416857169002963	0.8719253918806232
[0,0.05)	12	531	0.010402536615969711	0.0002606341776182541	0.00045143163782374713	0.00012166343817443526	0.0005212683552365081	0.2333988567543766
[0,0.05)	24	531	0.010546049961137713	0.000264229885480285	0.00045765958652995955	-0.0007199304024044784	0.0005284597709605699	-1.3623182727719774
[0.05,0.10)	1	459	0.010331943482668844	0.0002784293744899061	0.00048225382293613924	7.699299623031841e-05	0.0005568587489798122	0.1382630628886997
[0.05,0.10)	4	459	0.010268302558146208	0.00027671435322246306	0.00047928331896486667	0.00048044934782798254	0.0005534287064449261	0.868132321711783
[0.05,0.10)	12	459	0.010224971937706433	0.000275546662210066	0.0004772608188038535	9.693469489546747e-05	0.000551093324420132	0.17589524423556296
[0.05,0.10)	24	459	0.01063226128523906	0.00028652245959611783	0.0004962714575300769	-0.0006009111977713921	0.0005730449191922357	-1.0486284366999306
[0.10,0.25)	1	1335	0.010586696998062733	0.00016728585605230848	0.0002897476020702519	-0.00013790058533968974	0.000334571712104617	-0.4121704864772599
[0.10,0.25)	4	1335	0.010228454290366597	0.00016162507837609735	0.00027994284752470253	0.0001637360925131892	0.00032325015675219474	0.5065305896779817
[0.10,0.25)	12	1335	0.01025904501658011	0.00016210845820861978	0.0002807800859539855	-6.868982762198161e-05	0.0003242169164172396	-0.21186379903010255
[0.10,0.25)	24	1335	0.010242655176908639	0.0001618494739040247	0.0002803315119800639	0.00010123318125843106	0.0003236989478080494	0.3127386787752595
[0.25,0.50)	1	2117	0.010456431674430357	0.00013120864412045162	0.00022726003800884565	0.000600558852448474	0.00026241728824090324	2.28856435669418
[0.25,0.50)	4	2117	0.010343171597573855	0.0001297874421674317	0.00022479844401839905	0.00044700187305724004	0.0002595748843348634	1.7220536347445206
[0.25,0.50)	12	2117	0.010313490603973937	0.00012941500125760236	0.00022415335743975745	1.066200335941847e-05	0.0002588300025152047	0.04119307366151318
[0.25,0.50)	24	2117	0.010302384569918619	0.00012927564131959241	0.00022391197894658458	-0.00016084846344033288	0.00025855128263918483	-0.6221143511587262
[0.50,0.75)	1	2232	0.010516960992644871	0.00012852349903028987	0.00022260923028699138	-0.0003593344023281597	0.00025704699806057974	-1.3979326933959109
[0.50,0.75)	4	2232	0.010277111095648078	0.00012559239107756082	0.0002175324023903955	0.00048468784819977184	0.00025118478215512165	1.9296067382794235
[0.50,0.75)	12	2232	0.010195568791618152	0.00012459589577437893	0.00021580642189578068	8.439388560710359e-05	0.00024919179154875786	0.33867040757075156
[0.50,0.75)	24	2232	0.010206563974400453	0.00012473026342722533	0.00021603915349740444	0.0001546128546950909	0.00024946052685445065	0.6197888565564553
[0.75,1.0]	1	2336	0.010369768326228875	0.00012387167415537926	0.00021455203325573344	-0.00012852032704802063	0.00024774334831075847	-0.5187639866996967
[0.75,1.0]	4	2336	0.010431330621944032	0.00012460706422342895	0.00021582576621697705	-0.00018680305723151047	0.0002492141284468579	-0.749568487130713
[0.75,1.0]	12	2336	0.010508731567223284	0.0001255316542789945	0.00021742720316938953	-6.814877585259449e-05	0.000251063308557989	-0.2714406029459853
[0.75,1.0]	24	2336	0.010441669276108446	0.0001247305642245447	0.00021603967449364435	-5.9969644442214864e-05	0.0002494611284490894	-0.24039674964612215
