bucket	T_h	n	run8_n	dR_mean	amp_mean_pct	cap_prod_pct	run8_cap_pct	cap_prod_vs_run8	cap_pair_pct	cov_pct	ratio_pair_over_prod	corr_dR_amp	capm_pair_pct	cap_pair_consv_pct	pair_lo95_pct	pair_hi95_pct	pair_loADJ_pct	pair_hiADJ_pct	prod_lo95_pct	prod_hi95_pct	prod_loADJ_pct	prod_hiADJ_pct	n_weeks	cov_over_amp	h0_cov_over_amp	h0_corr	bias_pct	cov_residual_pct	cap_debias_pct
[0,0.05)	1	531	531	0.005802707559	0.6488398982	0.003765028182	0.003765028182	6.15826834e-17	0.01746078913	0.01369576095	4.637625083	0.2010039749	0.01745285079	0.01745285079	0.005082646368	0.03011808443	-0.002156340633	0.0369416287	-0.007266481645	0.01489566587	-0.01387343891	0.02129032346	102	0.02110807456	0.01218873013	0.2413269645	0.007908534417	0.005787226533	0.009552254715
[0,0.05)	4	531	531	0.01266019244	1.380616247	0.01747886738	0.01747886738	2.081668171e-17	0.04736161796	0.02988275058	2.709650284	0.1926166979	0.04734546563	0.04734546563	0.01544323804	0.07991987482	-0.00227747511	0.09736995885	-0.009276763006	0.04384775542	-0.02487050063	0.05767968704	102	0.02164450161	0.01283983171	0.2661948302	0.01772688027	0.01215587031	0.02963473769
[0,0.05)	12	531	531	0.020362456	2.81595896	0.05733984042	0.05733984042	-2.081668171e-17	0.1278220218	0.0704821814	2.229200864	0.2317364098	0.1270101068	0.1270101068	0.06781627878	0.1952732782	0.03438988156	0.2377058231	0.0123138462	0.1068765123	-0.01284036163	0.1393956331	102	0.02502954851	0.01266477341	0.2841786056	0.03566348216	0.03481869924	0.09215853966
[0,0.05)	24	531	531	0.01567594948	4.266322012	0.06687864833	0.06687864833	-1.110223025e-16	0.1874459682	0.1205673199	2.802777462	0.2729267653	0.1892678834	0.1874459682	0.096661599	0.2866337392	0.04749932163	0.3451079876	0.0005134548412	0.1379831284	-0.03519748209	0.1830397466	102	0.02826024842	0.0140562479	0.3012556016	0.05996847982	0.06059884008	0.1274774884
[0.05,0.10)	1	459	459	-0.005730536223	0.7039617455	-0.004034078282	-0.004034078282	-2.602085214e-18	0.005754158328	0.00978823661	-1.426387374	0.09409198418	0.005782834645	0.005754158328	-0.006869550583	0.01970448505	-0.0141958888	0.02872848079	-0.0148738678	0.007655013967	-0.02042352739	0.01486985572	111	0.01390450074	0.01218873013	0.2413269645	0.008580399738	0.001207836872	-0.00282624141
[0.05,0.10)	4	459	459	0.005309315758	1.58483725	0.008414401385	0.008414401385	3.122502257e-17	0.04459709107	0.03618268968	5.300090764	0.2142961693	0.04460679101	0.04459709107	0.0158835748	0.07497704405	-0.001844715072	0.09315972174	-0.01591255339	0.03426758189	-0.03037791906	0.04863157333	111	0.02283053965	0.01283983171	0.2661948302	0.02034904358	0.0158336461	0.02424804749
[0.05,0.10)	12	459	459	-0.004369482193	2.98259095	-0.01303237804	-0.01303237804	-5.204170428e-18	0.02299953893	0.03603191697	-1.764799859	0.1221042323	0.02186979922	0.02186979922	-0.04259648215	0.09530953594	-0.08172610222	0.1376680463	-0.05844984749	0.03669759774	-0.08278494768	0.06726431404	111	0.01208074375	0.01266477341	0.2841786056	0.03777383856	-0.001741921586	-0.01477429963
[0.05,0.10)	24	459	459	0.006827966493	4.589155706	0.03133460139	0.03133460139	-2.775557562e-17	0.1191596447	0.08782504332	3.802813485	0.1986022101	0.1179114284	0.1179114284	0.02949122487	0.2176185956	-0.01775333804	0.2819641835	-0.03979832426	0.1105988288	-0.07979679197	0.1557312214	111	0.01913751656	0.0140562479	0.3012556016	0.06450631026	0.02331873306	0.05465333445
[0.10,0.25)	1	1335	1335	-0.001671962009	0.8624700533	-0.001442017163	-0.001442017163	-6.548581122e-17	0.0222702648	0.02371228196	-15.44382783	0.2418505705	0.02228181737	0.0222702648	0.008951852295	0.03641048581	0.002087568354	0.04514190289	-0.01136230685	0.009203803578	-0.01687117922	0.01562196165	128	0.02749345542	0.01218873013	0.2413269645	0.01051241472	0.01319986724	0.01175785007
[0.10,0.25)	4	1335	1335	0.003177165304	1.866556093	0.005930357256	0.005930357256	3.469446952e-17	0.05245909309	0.04652873583	8.845857141	0.2319455501	0.05282382243	0.05245909309	0.02501082304	0.08081786653	0.01097912402	0.09914415266	-0.01364251703	0.02682138118	-0.02333388464	0.03979827846	128	0.02492758509	0.01283983171	0.2661948302	0.02396626611	0.02256246972	0.02849282697
