pair	n_anchor	n_spot_ok	n_perp_ok	n_both	spot_vs_run8_maxabs_amp	spot_vs_run8_maxabs_R
BTC/USDT	901	901	901	901	1.8067145002298446e-15	1.7106316363424412e-12
ETH/USDT	901	901	901	901	1.8596235662471372e-15	7.979172877981e-13
ADA/USDT	901	901	901	901	3.885780586188048e-16	6.872280522429719e-14
SOL/USDT	901	901	901	901	1.0061396160665481e-15	2.1171953079601735e-13
XRP/USDT	901	901	901	901	3.7600131341797294e-16	7.30526750203353e-14
DOGE/USDT	901	901	901	901	6.487865800153259e-16	1.9162449405030202e-13
BNB/USDT	901	901	901	901	1.005705935197554e-15	3.51163542688937e-13
LINK/USDT	901	901	901	901	5.672545766444159e-16	1.1257661469699087e-13
LTC/USDT	901	901	901	901	1.0061396160665481e-15	5.594413821086164e-13
AVAX/USDT	901	901	901	901	7.598088824778415e-16	1.0158540675320182e-13
