symbol	month	n_days_ok	n_days_missing	n_minutes	path
BTCUSDT	2024-01	31	0	44640	research/experiments/q11_aggtrades/BTCUSDT-aggtrades-1m-2024-01.feather
BTCUSDT	2024-02	29	0	41760	research/experiments/q11_aggtrades/BTCUSDT-aggtrades-1m-2024-02.feather
BTCUSDT	2024-03	31	0	44640	research/experiments/q11_aggtrades/BTCUSDT-aggtrades-1m-2024-03.feather
ETHUSDT	2024-01	31	0	44640	research/experiments/q11_aggtrades/ETHUSDT-aggtrades-1m-2024-01.feather
ETHUSDT	2024-02	29	0	41760	research/experiments/q11_aggtrades/ETHUSDT-aggtrades-1m-2024-02.feather
ETHUSDT	2024-03	31	0	44640	research/experiments/q11_aggtrades/ETHUSDT-aggtrades-1m-2024-03.feather
SOLUSDT	2024-01	31	0	44640	research/experiments/q11_aggtrades/SOLUSDT-aggtrades-1m-2024-01.feather
SOLUSDT	2024-02	29	0	41760	research/experiments/q11_aggtrades/SOLUSDT-aggtrades-1m-2024-02.feather
SOLUSDT	2024-03	31	0	44640	research/experiments/q11_aggtrades/SOLUSDT-aggtrades-1m-2024-03.feather
XRPUSDT	2024-01	31	0	44640	research/experiments/q11_aggtrades/XRPUSDT-aggtrades-1m-2024-01.feather
XRPUSDT	2024-02	29	0	41760	research/experiments/q11_aggtrades/XRPUSDT-aggtrades-1m-2024-02.feather
XRPUSDT	2024-03	31	0	44640	research/experiments/q11_aggtrades/XRPUSDT-aggtrades-1m-2024-03.feather
LINKUSDT	2024-01	31	0	44640	research/experiments/q11_aggtrades/LINKUSDT-aggtrades-1m-2024-01.feather
LINKUSDT	2024-02	29	0	41760	research/experiments/q11_aggtrades/LINKUSDT-aggtrades-1m-2024-02.feather
LINKUSDT	2024-03	31	0	44640	research/experiments/q11_aggtrades/LINKUSDT-aggtrades-1m-2024-03.feather
AVAXUSDT	2024-01	31	0	44640	research/experiments/q11_aggtrades/AVAXUSDT-aggtrades-1m-2024-01.feather
AVAXUSDT	2024-02	29	0	41760	research/experiments/q11_aggtrades/AVAXUSDT-aggtrades-1m-2024-02.feather
AVAXUSDT	2024-03	31	0	44640	research/experiments/q11_aggtrades/AVAXUSDT-aggtrades-1m-2024-03.feather
